priority_rank,inventory_source,classification,path,directory,file,size_bytes,num_of_images,neb_initial_path_length_bohr,neb_first_activation_forward_eV,neb_activation_overflow,job_done,has_error_hint,error_hints,content_scan_limited,content_skipped_large
24,nebProject,partial_neb_candidate,/scratch16/pclancy3/victor/nebProject/nebrel/output_neb_add1_add2.out,/scratch16/pclancy3/victor/nebProject/nebrel,output_neb_add1_add2.out,639438,5,5.7946,3.826094,False,False,False,,,
25,nebProject,completed_neb_candidate,/scratch16/pclancy3/victor/nebProject/neb/neb.out,/scratch16/pclancy3/victor/nebProject/neb,neb.out,911410,5,8.3845,4.878008,False,True,False,,,
26,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/neb/neb.in,/scratch16/pclancy3/victor/V-ST/neb,neb.in,8359,5,,,False,False,False,,False,False
27,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/neb/neb.out,/scratch16/pclancy3/victor/V-ST/neb,neb.out,2393,5,20.1492,,False,False,False,,False,False
28,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/neb2 copy/neb.in,/scratch16/pclancy3/victor/V-ST/neb2 copy,neb.in,8324,33,,,False,False,False,,False,False
29,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/neb2/neb.in,/scratch16/pclancy3/victor/V-ST/neb2,neb.in,8323,3,,,False,False,False,,False,False
30,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/neb2/neb2.in,/scratch16/pclancy3/victor/V-ST/neb2,neb2.in,8323,3,,,False,False,False,,False,False
31,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/neb2/neb3.in,/scratch16/pclancy3/victor/V-ST/neb2,neb3.in,8323,3,,,False,False,False,,False,False
32,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/neb2/neb4.in,/scratch16/pclancy3/victor/V-ST/neb2,neb4.in,8323,3,,,False,False,False,,False,False
33,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/neb2/neb5.in,/scratch16/pclancy3/victor/V-ST/neb2,neb5.in,8307,3,,,False,False,False,,False,False
34,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,01_neb.in,8653,3,,,False,False,False,,False,False
35,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,01_neb.out,0,,,,False,False,False,,False,False
36,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb_v2.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,01_neb_v2.in,8659,2,,,False,False,False,,False,False
37,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/12_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,12_neb.in,10008,3,,,False,False,False,,False,False
38,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/12_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,12_neb.out,16647,3,5.6618,,False,False,False,,False,False
39,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/12_neb_parallel.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,12_neb_parallel.in,10008,3,,,False,False,False,,False,False
40,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/23_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,23_neb.in,11351,3,,,False,False,False,,False,False
41,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/34_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,34_neb.in,11362,3,,,False,False,False,,False,False
42,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/01_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,01_neb.in,8687,10,,,False,False,False,,False,False
43,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/12_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,12_neb.in,10037,10,,,False,False,False,,False,False
44,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/23_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,23_neb.in,11375,10,,,False,False,False,,False,False
45,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/34_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,34_neb.in,11391,10,,,False,False,False,,False,False
46,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/45_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,45_neb.in,11371,10,,,False,False,False,,False,False
47,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,55_neb.in,11367,10,,,False,False,False,,False,False
48,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,55_neb.out,0,,,,False,False,False,,False,False
49,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb_cr.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,55_neb_cr.in,11378,10,,,False,False,False,,False,False
50,V-ST,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/55_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3,55_neb.in,11367,10,,,False,False,False,,False,False
51,nebProject,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/nebProject/neb/neb.in,/scratch16/pclancy3/victor/nebProject/neb,neb.in,8525,5,,,False,False,False,,,
52,nebProject,neb_needs_input_or_restart_review,/scratch16/pclancy3/victor/nebProject/nebrel/neb_add1_add2.in,/scratch16/pclancy3/victor/nebProject/nebrel,neb_add1_add2.in,8355,5,,,False,False,False,,,
53,V-ST,quarantine_neb_overflow,/scratch16/pclancy3/victor/V-ST/neb2/neb5.out,/scratch16/pclancy3/victor/V-ST/neb2,neb5.out,999524,3,20.1492,4.522590,True,False,False,,True,False
