queue_rank,queue_decision,inventory_source,classification,path_key,path,companion_neb_in,companion_images,engine_template_source,ready_for_standard_qe_input,neb_first_activation_forward_eV,neb_initial_path_length_bohr,job_done,has_error_hint,error_hints,review_notes
11,standardize_and_preflight,,partial_neb_candidate,34,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/34_neb_parallel.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/34_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,5.003261,5.6425,False,False,,
12,standardize_and_preflight,,partial_neb_candidate,01,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/01_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/01_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/01_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,4.319435,6.3389,False,False,,
13,standardize_and_preflight,,partial_neb_candidate,12,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/12_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/12_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/12_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,5.078892,5.6618,False,False,,
14,standardize_and_preflight,,partial_neb_candidate,23,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/23_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/23_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/23_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,1.588739,,False,False,,
15,standardize_and_preflight,,partial_neb_candidate,23,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/23_neb_run1.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/23_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/23_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,4.503927,6.0992,False,False,,
16,standardize_and_preflight,,partial_neb_candidate,34,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/34_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/34_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/34_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,4.997499,5.6425,False,False,,
17,standardize_and_preflight,,partial_neb_candidate,55,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/55_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/55_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/55_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/pw_1.in,True,2.920645,,False,False,,
18,needs_input_or_restart_review,,neb_needs_input_or_restart_review,neb,/scratch16/pclancy3/victor/V-ST/neb/neb.in,/scratch16/pclancy3/victor/V-ST/neb/neb.in,,/scratch16/pclancy3/victor/V-ST/neb/pw_1.in,False,,,False,False,,
19,needs_input_or_restart_review,,neb_needs_input_or_restart_review,neb,/scratch16/pclancy3/victor/V-ST/neb/neb.out,/scratch16/pclancy3/victor/V-ST/neb/neb.in,,/scratch16/pclancy3/victor/V-ST/neb/pw_1.in,False,,20.1492,False,False,,
20,needs_input_or_restart_review,,neb_needs_input_or_restart_review,neb,/scratch16/pclancy3/victor/V-ST/neb2 copy/neb.in,/scratch16/pclancy3/victor/V-ST/neb2 copy/neb.in,,,False,,,False,False,,
21,needs_input_or_restart_review,,neb_needs_input_or_restart_review,neb,/scratch16/pclancy3/victor/V-ST/neb2/neb.in,/scratch16/pclancy3/victor/V-ST/neb2/neb.in,/scratch16/pclancy3/victor/V-ST/neb2/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/neb2/pw_1.in,True,,,False,False,,
22,needs_input_or_restart_review,,neb_needs_input_or_restart_review,neb2,/scratch16/pclancy3/victor/V-ST/neb2/neb2.in,/scratch16/pclancy3/victor/V-ST/neb2/neb2.in,/scratch16/pclancy3/victor/V-ST/neb2/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/neb2/pw_1.in,True,,,False,False,,
23,needs_input_or_restart_review,,neb_needs_input_or_restart_review,neb3,/scratch16/pclancy3/victor/V-ST/neb2/neb3.in,/scratch16/pclancy3/victor/V-ST/neb2/neb3.in,/scratch16/pclancy3/victor/V-ST/neb2/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/neb2/pw_1.in,True,,,False,False,,
24,needs_input_or_restart_review,,neb_needs_input_or_restart_review,neb4,/scratch16/pclancy3/victor/V-ST/neb2/neb4.in,/scratch16/pclancy3/victor/V-ST/neb2/neb4.in,/scratch16/pclancy3/victor/V-ST/neb2/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/neb2/pw_1.in,True,,,False,False,,
25,needs_input_or_restart_review,,neb_needs_input_or_restart_review,neb5,/scratch16/pclancy3/victor/V-ST/neb2/neb5.in,/scratch16/pclancy3/victor/V-ST/neb2/neb5.in,/scratch16/pclancy3/victor/V-ST/neb2/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/neb2/pw_1.in,True,,,False,False,,
26,needs_input_or_restart_review,,neb_needs_input_or_restart_review,01,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_v-sb2te3_v2.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,,,False,False,,
27,needs_input_or_restart_review,,neb_needs_input_or_restart_review,01,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_v-sb2te3_v2.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,,,False,False,,
28,needs_input_or_restart_review,,neb_needs_input_or_restart_review,01,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb_v2.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb_v2.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_v-sb2te3_v2.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,,,False,False,,"existing Victor input uses 2 images; treat as endpoint/path preflight, not barrier benchmark, until regenerated with intermediates"
29,needs_input_or_restart_review,,neb_needs_input_or_restart_review,12,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/12_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/12_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,,,False,False,,
30,needs_input_or_restart_review,,neb_needs_input_or_restart_review,12,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/12_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/12_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,,5.6618,False,False,,
31,needs_input_or_restart_review,,neb_needs_input_or_restart_review,12,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/12_neb_parallel.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/12_neb_parallel.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,,,False,False,,
32,needs_input_or_restart_review,,neb_needs_input_or_restart_review,23,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/23_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/23_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,,,False,False,,
33,needs_input_or_restart_review,,neb_needs_input_or_restart_review,34,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/34_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/34_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,,,False,False,,
34,needs_input_or_restart_review,,neb_needs_input_or_restart_review,01,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/01_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/01_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/01_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,,,False,False,,
35,needs_input_or_restart_review,,neb_needs_input_or_restart_review,12,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/12_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/12_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/12_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,,,False,False,,
36,needs_input_or_restart_review,,neb_needs_input_or_restart_review,23,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/23_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/23_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/23_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,,,False,False,,
37,needs_input_or_restart_review,,neb_needs_input_or_restart_review,34,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/34_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/34_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/34_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,,,False,False,,
38,needs_input_or_restart_review,,neb_needs_input_or_restart_review,45,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/45_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/45_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/45_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,,,False,False,,
39,needs_input_or_restart_review,,neb_needs_input_or_restart_review,55,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,,,False,False,,
40,needs_input_or_restart_review,,neb_needs_input_or_restart_review,55,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,,,False,False,,
41,needs_input_or_restart_review,,neb_needs_input_or_restart_review,55,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb_cr.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb_cr.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,,,False,False,,
42,needs_input_or_restart_review,,neb_needs_input_or_restart_review,55,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/55_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/55_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/55_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/pw_1.in,True,,,False,False,,
43,diagnostic_or_defer_high_barrier,,partial_neb_candidate,neb,/scratch16/pclancy3/victor/V-ST/neb2 copy/neb.out,/scratch16/pclancy3/victor/V-ST/neb2 copy/neb.in,,,False,627.040883,20.1492,False,False,,
44,diagnostic_or_defer_high_barrier,,partial_neb_candidate,neb,/scratch16/pclancy3/victor/V-ST/neb2/neb.out,/scratch16/pclancy3/victor/V-ST/neb2/neb.in,/scratch16/pclancy3/victor/V-ST/neb2/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/neb2/pw_1.in,True,627.040883,20.1492,False,False,,
45,diagnostic_or_defer_high_barrier,,partial_neb_candidate,45,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/45_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/45_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/45_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,28.478909,8.0789,False,False,,
46,diagnostic_or_defer_high_barrier,,partial_neb_candidate,55,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb_cr.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb_cr.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,25.885592,8.0789,False,False,,
47,diagnostic_or_defer_high_barrier,,partial_neb_candidate,55,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb_run1.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/pw_1.in,True,28.478909,8.0789,False,False,,
48,diagnostic_or_defer_high_barrier,,partial_neb_candidate,55 copy,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/55_neb copy.out,,,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/pw_1.in,False,28.478909,8.0789,False,False,,
49,quarantine_overflow,,quarantine_neb_overflow,neb5,/scratch16/pclancy3/victor/V-ST/neb2/neb5.out,/scratch16/pclancy3/victor/V-ST/neb2/neb5.in,/scratch16/pclancy3/victor/V-ST/neb2/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/neb2/pw_1.in,True,4.522590,20.1492,True,False,,
