path_id,system_id,start_site_id,end_site_id,start_geometry,end_geometry,delta_z_A,abs_delta_z_A,screening_energy_delta_eV,geometry_complexity_delta,transition_class,penetration_index,gap_index,priority_score,representative_rank_within_class,selection_reason
joshitha_sites::joshitha_sites::unique_068__to__joshitha_sites::joshitha_sites::unique_173,joshitha_sites,joshitha_sites::joshitha_sites::unique_068,joshitha_sites::joshitha_sites::unique_173,cn10_te4,cn9_te4,7.7806,7.7806,-0.002503,-0.4,mixed_transition_candidate,0.334234,0.601752,0.654838,1,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_040__to__joshitha_sites::joshitha_sites::unique_069,joshitha_sites,joshitha_sites::joshitha_sites::unique_040,joshitha_sites::joshitha_sites::unique_069,cn7_te3,cn10_te4,0.4191,0.4191,-2.776611,0.3,mixed_transition_candidate,0.248273,0.515498,0.375391,2,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_066,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_066,cn7_te4,cn10_te4,4.1406,4.1406,-1.232849,0.3,mixed_transition_candidate,0.261818,0.59428,0.538285,3,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_067__to__joshitha_sites::joshitha_sites::unique_096,joshitha_sites,joshitha_sites::joshitha_sites::unique_067,joshitha_sites::joshitha_sites::unique_096,cn10_te4,cn6_te3,2.3445,2.3445,0.674011,-0.45,mixed_transition_candidate,0.287525,0.480136,0.478858,4,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_067__to__joshitha_sites::joshitha_sites::unique_164,joshitha_sites,joshitha_sites::joshitha_sites::unique_067,joshitha_sites::joshitha_sites::unique_164,cn10_te4,cn7_te4,6.133,6.133,2.352234,-0.3,mixed_transition_candidate,0.332876,0.604555,0.531379,5,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_068__to__joshitha_sites::joshitha_sites::unique_129,joshitha_sites,joshitha_sites::joshitha_sites::unique_068,joshitha_sites::joshitha_sites::unique_129,cn10_te4,cn6_te3,5.0025,5.0025,0.156524,-0.45,mixed_transition_candidate,0.316385,0.526811,0.566902,6,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_068__to__joshitha_sites::joshitha_sites::unique_083,joshitha_sites,joshitha_sites::joshitha_sites::unique_068,joshitha_sites::joshitha_sites::unique_083,cn10_te4,cn7_te4,1.3027,1.3027,2.304016,-0.3,mixed_transition_candidate,0.248011,0.535942,0.419197,7,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_069__to__joshitha_sites::joshitha_sites::unique_096,joshitha_sites,joshitha_sites::joshitha_sites::unique_069,joshitha_sites::joshitha_sites::unique_096,cn10_te4,cn6_te3,3.3963,3.3963,0.955597,-0.45,mixed_transition_candidate,0.314893,0.490631,0.490174,8,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_044__to__joshitha_sites::joshitha_sites::unique_067,joshitha_sites,joshitha_sites::joshitha_sites::unique_044,joshitha_sites::joshitha_sites::unique_067,cn7_te3,cn10_te4,2.9655,2.9655,0.038452,0.3,mixed_transition_candidate,0.202392,0.596979,0.568195,9,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_016__to__joshitha_sites::joshitha_sites::unique_067,joshitha_sites,joshitha_sites::joshitha_sites::unique_016,joshitha_sites::joshitha_sites::unique_067,cn7_te4,cn10_te4,5.4426,5.4426,-1.51065,0.3,mixed_transition_candidate,0.293376,0.608433,0.555716,10,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_044__to__joshitha_sites::joshitha_sites::unique_069,joshitha_sites,joshitha_sites::joshitha_sites::unique_044,joshitha_sites::joshitha_sites::unique_069,cn7_te3,cn10_te4,1.9137,1.9137,-0.243134,0.3,mixed_transition_candidate,0.190968,0.57851,0.53336,11,farthest_point_sampling_in_descriptor_space
joshitha_sites::joshitha_sites::unique_068__to__joshitha_sites::joshitha_sites::unique_139,joshitha_sites,joshitha_sites::joshitha_sites::unique_068,joshitha_sites::joshitha_sites::unique_139,cn10_te4,cn7_te4,6.9829,6.9829,2.320678,-0.3,mixed_transition_candidate,0.346495,0.617283,0.553055,12,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_064__to__victor_sites::victor_sites::unique_171,victor_sites,victor_sites::victor_sites::unique_064,victor_sites::victor_sites::unique_171,cn8_te4,cn8_te4,7.8659,7.8659,0.004547,0.0,in_gap_or_open_channel_candidate,0.159259,0.882515,0.806052,1,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_202__to__victor_sites::victor_sites::unique_209,victor_sites,victor_sites::victor_sites::unique_202,victor_sites::victor_sites::unique_209,cn8_te4,cn8_te4,-0.4033,0.4033,-3.861358,0.0,in_gap_or_open_channel_candidate,0.136124,0.692815,0.409967,2,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_162__to__victor_sites::victor_sites::unique_202,victor_sites,victor_sites::victor_sites::unique_162,victor_sites::victor_sites::unique_202,cn8_te4,cn8_te4,4.1323,4.1323,3.751739,0.0,in_gap_or_open_channel_candidate,0.20792,0.757489,0.51904,3,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_161__to__victor_sites::victor_sites::unique_210,victor_sites,victor_sites::victor_sites::unique_161,victor_sites::victor_sites::unique_210,cn8_te4,cn8_te4,2.2589,2.2589,1.123596,0.0,in_gap_or_open_channel_candidate,0.082928,0.769459,0.595403,4,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_005__to__victor_sites::victor_sites::unique_116,victor_sites,victor_sites::victor_sites::unique_005,victor_sites::victor_sites::unique_116,octahedral,octahedral,6.0197,6.0197,0.648498,0.0,in_gap_or_open_channel_candidate,0.143256,0.840725,0.723226,5,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_181__to__victor_sites::victor_sites::unique_202,victor_sites,victor_sites::victor_sites::unique_181,victor_sites::victor_sites::unique_202,cn8_te4,cn8_te4,3.2041,3.2041,1.128021,0.0,in_gap_or_open_channel_candidate,0.102194,0.785318,0.621476,6,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_105__to__victor_sites::victor_sites::unique_114,victor_sites,victor_sites::victor_sites::unique_105,victor_sites::victor_sites::unique_114,octahedral,octahedral,-1.3307,1.3307,-0.002381,0.0,in_gap_or_open_channel_candidate,0.026996,0.772391,0.624394,7,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_005__to__victor_sites::victor_sites::unique_108,victor_sites,victor_sites::victor_sites::unique_005,victor_sites::victor_sites::unique_108,octahedral,octahedral,5.0614,5.0614,3.715454,0.0,in_gap_or_open_channel_candidate,0.225511,0.773751,0.546655,8,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_004__to__victor_sites::victor_sites::unique_113,victor_sites,victor_sites::victor_sites::unique_004,victor_sites::victor_sites::unique_113,octahedral,octahedral,6.9374,6.9374,2.572083,0.0,in_gap_or_open_channel_candidate,0.225566,0.82432,0.654722,9,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_057__to__victor_sites::victor_sites::unique_063,victor_sites,victor_sites::victor_sites::unique_057,victor_sites::victor_sites::unique_063,cn8_te4,cn8_te4,-1.7704,1.7704,5.703034,0.0,in_gap_or_open_channel_candidate,0.22481,0.685343,0.357966,10,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_027__to__victor_sites::victor_sites::unique_055,victor_sites,victor_sites::victor_sites::unique_027,victor_sites::victor_sites::unique_055,cn8_te4,cn8_te4,2.7237,2.7237,3.225403,0.0,in_gap_or_open_channel_candidate,0.161984,0.742466,0.505591,11,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_110__to__victor_sites::victor_sites::unique_117,victor_sites,victor_sites::victor_sites::unique_110,victor_sites::victor_sites::unique_117,octahedral,octahedral,-0.8791,0.8791,3.796662,0.0,in_gap_or_open_channel_candidate,0.143604,0.701907,0.426363,12,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_024__to__victor_sites::victor_sites::unique_106,victor_sites,victor_sites::victor_sites::unique_024,victor_sites::victor_sites::unique_106,cn8_te4,octahedral,7.7881,7.7881,0.235778,-0.47,mixed_transition_candidate,0.400349,0.571872,0.65511,1,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_031__to__victor_sites::victor_sites::unique_062,victor_sites,victor_sites::victor_sites::unique_031,victor_sites::victor_sites::unique_062,octahedral,cn8_te4,0.4155,0.4155,3.869935,0.47,mixed_transition_candidate,0.371655,0.387379,0.272412,2,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_101__to__victor_sites::victor_sites::unique_171,victor_sites,victor_sites::victor_sites::unique_101,victor_sites::victor_sites::unique_171,octahedral,cn8_te4,4.1622,4.1622,-3.305206,0.47,mixed_transition_candidate,0.428727,0.459892,0.404224,3,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_064__to__victor_sites::victor_sites::unique_108,victor_sites,victor_sites::victor_sites::unique_064,victor_sites::victor_sites::unique_108,cn8_te4,octahedral,2.2458,2.2458,5.317871,-0.47,mixed_transition_candidate,0.456662,0.394238,0.280631,4,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_053__to__victor_sites::victor_sites::unique_106,victor_sites,victor_sites::victor_sites::unique_053,victor_sites::victor_sites::unique_106,cn8_te4,octahedral,5.8516,5.8516,-1.552735,-0.47,mixed_transition_candidate,0.404822,0.517408,0.536875,5,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_117__to__victor_sites::victor_sites::unique_207,victor_sites,victor_sites::victor_sites::unique_117,victor_sites::victor_sites::unique_207,octahedral,cn8_te4,6.7921,6.7921,-1.965607,0.47,mixed_transition_candidate,0.437529,0.52642,0.542851,6,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_031__to__victor_sites::victor_sites::unique_065,victor_sites,victor_sites::victor_sites::unique_031,victor_sites::victor_sites::unique_065,octahedral,cn8_te4,2.9637,2.9637,2.135224,0.47,mixed_transition_candidate,0.36571,0.459076,0.428081,7,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_107__to__victor_sites::victor_sites::unique_162,victor_sites,victor_sites::victor_sites::unique_107,victor_sites::victor_sites::unique_162,octahedral,cn8_te4,1.6703,1.6703,0.534607,0.47,mixed_transition_candidate,0.286503,0.463797,0.470349,8,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_107__to__victor_sites::victor_sites::unique_201,victor_sites,victor_sites::victor_sites::unique_107,victor_sites::victor_sites::unique_201,octahedral,cn8_te4,5.2678,5.2678,1.438141,0.47,mixed_transition_candidate,0.389215,0.509466,0.526239,9,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_058__to__victor_sites::victor_sites::unique_116,victor_sites,victor_sites::victor_sites::unique_058,victor_sites::victor_sites::unique_116,cn8_te4,octahedral,3.5892,3.5892,-0.535279,-0.47,mixed_transition_candidate,0.32534,0.496131,0.523686,10,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_025__to__victor_sites::victor_sites::unique_117,victor_sites,victor_sites::victor_sites::unique_025,victor_sites::victor_sites::unique_117,cn8_te4,octahedral,4.7108,4.7108,2.644257,-0.47,mixed_transition_candidate,0.417919,0.480091,0.451791,11,farthest_point_sampling_in_descriptor_space
victor_sites::victor_sites::unique_025__to__victor_sites::victor_sites::unique_031,victor_sites,victor_sites::victor_sites::unique_025,victor_sites::victor_sites::unique_031,cn8_te4,octahedral,-0.7572,0.7572,-1.444306,-0.47,mixed_transition_candidate,0.298181,0.433331,0.400485,12,farthest_point_sampling_in_descriptor_space
