site_id,raw_site_id,system_id,source_namespace,geometry,migrant_z_A,screening_energy_eV,z_rank_score,geometry_complexity_score,stability_score,qe_input_path,source_csv,source_sha256
victor_sites::victor_sites::unique_031,unique_031,victor_sites,victor_sites,octahedral,17.2503,-300.352448,0.096905,0.25,0.938799,results/interstitial_search/qe_inputs/unique_031/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_033,unique_033,victor_sites,victor_sites,cn8_te4,17.2621,-300.349365,0.097583,0.72,0.938319,results/interstitial_search/qe_inputs/unique_033/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_034,unique_034,victor_sites,victor_sites,cn8_te4,16.68,-295.267303,0.064128,0.72,0.148135,results/interstitial_search/qe_inputs/unique_034/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_036,unique_036,victor_sites,victor_sites,cn8_te4,18.3602,-296.26532,0.160694,0.72,0.303312,results/interstitial_search/qe_inputs/unique_036/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_037,unique_037,victor_sites,victor_sites,cn8_te4,18.2386,-297.814331,0.153706,0.72,0.54416,results/interstitial_search/qe_inputs/unique_037/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_038,unique_038,victor_sites,victor_sites,cn8_te4,17.2461,-300.350128,0.096664,0.72,0.938438,results/interstitial_search/qe_inputs/unique_038/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_039,unique_039,victor_sites,victor_sites,cn8_te4,18.2294,-297.892609,0.153177,0.72,0.556331,results/interstitial_search/qe_inputs/unique_039/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_051,unique_051,victor_sites,victor_sites,cn8_te4,19.8255,-300.4104,0.244909,0.72,0.947809,results/interstitial_search/qe_inputs/unique_051/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_052,unique_052,victor_sites,victor_sites,cn8_te4,19.0749,-298.304108,0.20177,0.72,0.620313,results/interstitial_search/qe_inputs/unique_052/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_053,unique_053,victor_sites,victor_sites,cn8_te4,18.7575,-296.454437,0.183528,0.72,0.332716,results/interstitial_search/qe_inputs/unique_053/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_055,unique_055,victor_sites,victor_sites,cn8_te4,19.9688,-297.12677,0.253145,0.72,0.437254,results/interstitial_search/qe_inputs/unique_055/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_056,unique_056,victor_sites,victor_sites,cn8_te4,20.2067,-298.726013,0.266818,0.72,0.685912,results/interstitial_search/qe_inputs/unique_056/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_057,unique_057,victor_sites,victor_sites,cn8_te4,19.8308,-300.414124,0.245214,0.72,0.948388,results/interstitial_search/qe_inputs/unique_057/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_058,unique_058,victor_sites,victor_sites,cn8_te4,19.3985,-297.629028,0.220368,0.72,0.515348,results/interstitial_search/qe_inputs/unique_058/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_059,unique_059,victor_sites,victor_sites,cn8_te4,19.3391,-295.940521,0.216955,0.72,0.25281,results/interstitial_search/qe_inputs/unique_059/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_060,unique_060,victor_sites,victor_sites,cn8_te4,19.117,-295.557373,0.20419,0.72,0.193236,results/interstitial_search/qe_inputs/unique_060/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_062,unique_062,victor_sites,victor_sites,cn8_te4,17.6658,-296.482513,0.120785,0.72,0.337082,results/interstitial_search/qe_inputs/unique_062/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_063,unique_063,victor_sites,victor_sites,cn8_te4,18.0604,-294.71109,0.143464,0.72,0.061652,results/interstitial_search/qe_inputs/unique_063/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_064,unique_064,victor_sites,victor_sites,cn8_te4,19.7836,-300.415222,0.242501,0.72,0.948559,results/interstitial_search/qe_inputs/unique_064/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_065,unique_065,victor_sites,victor_sites,cn8_te4,20.214,-298.217224,0.267238,0.72,0.606803,results/interstitial_search/qe_inputs/unique_065/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_079,unique_079,victor_sites,victor_sites,octahedral,23.6945,-300.742035,0.467272,0.25,0.999374,results/interstitial_search/qe_inputs/unique_079/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_101,unique_101,victor_sites,victor_sites,octahedral,23.4873,-297.105469,0.455364,0.25,0.433942,results/interstitial_search/qe_inputs/unique_101/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_102,unique_102,victor_sites,victor_sites,octahedral,23.7236,-300.745331,0.468945,0.25,0.999886,results/interstitial_search/qe_inputs/unique_102/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_104,unique_104,victor_sites,victor_sites,octahedral,23.7194,-300.746063,0.468703,0.25,1.0,results/interstitial_search/qe_inputs/unique_104/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_105,unique_105,victor_sites,victor_sites,octahedral,24.3818,-298.817993,0.506773,0.25,0.700214,results/interstitial_search/qe_inputs/unique_105/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_106,unique_106,victor_sites,victor_sites,octahedral,24.6091,-298.007172,0.519837,0.25,0.574143,results/interstitial_search/qe_inputs/unique_106/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_107,unique_107,victor_sites,victor_sites,octahedral,24.9627,-299.553772,0.540159,0.25,0.814617,results/interstitial_search/qe_inputs/unique_107/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_108,unique_108,victor_sites,victor_sites,octahedral,22.0294,-295.097351,0.371574,0.25,0.12171,results/interstitial_search/qe_inputs/unique_108/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_109,unique_109,victor_sites,victor_sites,octahedral,24.0724,-298.350128,0.488991,0.25,0.627468,results/interstitial_search/qe_inputs/unique_109/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_110,unique_110,victor_sites,victor_sites,octahedral,23.5974,-300.060547,0.461691,0.25,0.893413,results/interstitial_search/qe_inputs/unique_110/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_111,unique_111,victor_sites,victor_sites,octahedral,24.4443,-296.243652,0.510365,0.25,0.299943,results/interstitial_search/qe_inputs/unique_111/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_113,unique_113,victor_sites,victor_sites,octahedral,22.8715,-297.684143,0.419972,0.25,0.523917,results/interstitial_search/qe_inputs/unique_113/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_114,unique_114,victor_sites,victor_sites,octahedral,23.0511,-298.820374,0.430294,0.25,0.700584,results/interstitial_search/qe_inputs/unique_114/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_115,unique_115,victor_sites,victor_sites,octahedral,23.7264,-300.744781,0.469105,0.25,0.999801,results/interstitial_search/qe_inputs/unique_115/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_116,unique_116,victor_sites,victor_sites,octahedral,22.9877,-298.164307,0.42665,0.25,0.598576,results/interstitial_search/qe_inputs/unique_116/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_117,unique_117,victor_sites,victor_sites,octahedral,22.7183,-296.263885,0.411167,0.25,0.303088,results/interstitial_search/qe_inputs/unique_117/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_119,unique_119,victor_sites,victor_sites,octahedral,23.7376,-300.74527,0.469749,0.25,0.999877,results/interstitial_search/qe_inputs/unique_119/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_121,unique_121,victor_sites,victor_sites,octahedral,23.7144,-300.737122,0.468416,0.25,0.99861,results/interstitial_search/qe_inputs/unique_121/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_122,unique_122,victor_sites,victor_sites,octahedral,25.1892,-297.718079,0.553177,0.25,0.529194,results/interstitial_search/qe_inputs/unique_122/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_124,unique_124,victor_sites,victor_sites,octahedral,23.7296,-300.743347,0.469289,0.25,0.999578,results/interstitial_search/qe_inputs/unique_124/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_125,unique_125,victor_sites,victor_sites,octahedral,23.02,-298.245087,0.428507,0.25,0.611136,results/interstitial_search/qe_inputs/unique_125/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_158,unique_158,victor_sites,victor_sites,cn8_te4,27.3884,-299.553986,0.679571,0.72,0.81465,results/interstitial_search/qe_inputs/unique_158/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_159,unique_159,victor_sites,victor_sites,cn8_te4,27.3084,-299.37146,0.674973,0.72,0.78627,results/interstitial_search/qe_inputs/unique_159/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_160,unique_160,victor_sites,victor_sites,cn8_te4,26.3579,-300.29422,0.620345,0.72,0.929745,results/interstitial_search/qe_inputs/unique_160/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_161,unique_161,victor_sites,victor_sites,cn8_te4,27.2067,-299.31015,0.669128,0.72,0.776737,results/interstitial_search/qe_inputs/unique_161/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_162,unique_162,victor_sites,victor_sites,cn8_te4,26.633,-299.019165,0.636156,0.72,0.731493,results/interstitial_search/qe_inputs/unique_162/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_171,unique_171,victor_sites,victor_sites,cn8_te4,27.6495,-300.410675,0.694577,0.72,0.947852,results/interstitial_search/qe_inputs/unique_171/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_180,unique_180,victor_sites,victor_sites,cn8_te4,27.097,-298.591431,0.662824,0.72,0.664987,results/interstitial_search/qe_inputs/unique_180/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_181,unique_181,victor_sites,victor_sites,cn8_te4,27.5612,-296.395447,0.689503,0.72,0.323544,results/interstitial_search/qe_inputs/unique_181/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_182,unique_182,victor_sites,victor_sites,cn8_te4,27.6351,-300.416534,0.69375,0.72,0.948763,results/interstitial_search/qe_inputs/unique_182/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_188,unique_188,victor_sites,victor_sites,cn8_te4,30.6264,-299.660522,0.865669,0.72,0.831215,results/interstitial_search/qe_inputs/unique_188/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_189,unique_189,victor_sites,victor_sites,cn8_te4,30.1829,-300.350159,0.840179,0.72,0.938443,results/interstitial_search/qe_inputs/unique_189/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_190,unique_190,victor_sites,victor_sites,cn8_te4,30.465,-298.526794,0.856392,0.72,0.654937,results/interstitial_search/qe_inputs/unique_190/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_191,unique_191,victor_sites,victor_sites,cn8_te4,29.9869,-299.45578,0.828915,0.72,0.79938,results/interstitial_search/qe_inputs/unique_191/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_200,unique_200,victor_sites,victor_sites,cn8_te4,30.1975,-300.348358,0.841018,0.72,0.938163,results/interstitial_search/qe_inputs/unique_200/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_201,unique_201,victor_sites,victor_sites,cn8_te4,30.2305,-298.115631,0.842915,0.72,0.591007,results/interstitial_search/qe_inputs/unique_201/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_202,unique_202,victor_sites,victor_sites,cn8_te4,30.7653,-295.267426,0.873652,0.72,0.148154,results/interstitial_search/qe_inputs/unique_202/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_204,unique_204,victor_sites,victor_sites,cn8_te4,30.1967,-300.352905,0.840972,0.72,0.93887,results/interstitial_search/qe_inputs/unique_204/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_207,unique_207,victor_sites,victor_sites,cn8_te4,29.5104,-298.229492,0.801529,0.72,0.608711,results/interstitial_search/qe_inputs/unique_207/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_209,unique_209,victor_sites,victor_sites,cn8_te4,30.362,-299.128784,0.850473,0.72,0.748537,results/interstitial_search/qe_inputs/unique_209/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_210,unique_210,victor_sites,victor_sites,cn8_te4,29.4656,-298.186554,0.798954,0.72,0.602035,results/interstitial_search/qe_inputs/unique_210/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_211,unique_211,victor_sites,victor_sites,cn8_te4,29.5985,-297.254669,0.806592,0.72,0.457141,results/interstitial_search/qe_inputs/unique_211/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_212,unique_212,victor_sites,victor_sites,cn8_te4,30.1102,-296.66803,0.836001,0.72,0.365927,results/interstitial_search/qe_inputs/unique_212/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
joshitha_sites::joshitha_sites::unique_001,unique_001,joshitha_sites,joshitha_sites,cn7_te4,15.864,-300.24527,0.01723,0.6,0.922134,results/interstitial_search/qe_inputs/unique_001/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
joshitha_sites::joshitha_sites::unique_002,unique_002,joshitha_sites,joshitha_sites,cn7_te4,15.8909,-298.454895,0.018776,0.6,0.643758,results/interstitial_search/qe_inputs/unique_002/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
joshitha_sites::joshitha_sites::unique_007,unique_007,joshitha_sites,joshitha_sites,cn7_te4,15.6744,-299.302063,0.006334,0.6,0.77548,results/interstitial_search/qe_inputs/unique_007/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
joshitha_sites::joshitha_sites::unique_009,unique_009,joshitha_sites,joshitha_sites,cn7_te4,16.0734,-298.580841,0.029265,0.6,0.66334,results/interstitial_search/qe_inputs/unique_009/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
joshitha_sites::joshitha_sites::unique_010,unique_010,joshitha_sites,joshitha_sites,cn7_te4,15.5642,-298.584686,0.0,0.6,0.663938,results/interstitial_search/qe_inputs/unique_010/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
