path_id,system_id,start_site_id,end_site_id,start_geometry,end_geometry,delta_z_A,abs_delta_z_A,screening_energy_delta_eV,geometry_complexity_delta,transition_class,penetration_index,gap_index,priority_score
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_068,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_068,cn7_te4,cn10_te4,3.9658,3.9658,-0.166076,0.3,mixed_transition_candidate,0.223824,0.609259,0.585737
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_069,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_069,cn7_te4,cn10_te4,4.1247,4.1247,1.459656,0.3,mixed_transition_candidate,0.268981,0.590333,0.526938
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_070,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_070,cn7_te4,cn6_te3,4.1376,4.1376,1.38147,-0.15,in_gap_or_open_channel_candidate,0.191639,0.6893,0.574901
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_071,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_071,cn7_te4,cn7_te4,4.2846,4.2846,0.701355,0.0,in_gap_or_open_channel_candidate,0.096873,0.800063,0.655155
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_072,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_072,cn7_te4,cn7_te4,5.1739,5.1739,-0.021972,0.0,in_gap_or_open_channel_candidate,0.089928,0.82398,0.709098
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_073,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_073,cn7_te4,cn7_te4,4.5396,4.5396,0.857453,0.0,in_gap_or_open_channel_candidate,0.106388,0.801168,0.653651
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_074,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_074,cn7_te4,cn7_te4,3.9045,3.9045,-0.163482,0.0,in_gap_or_open_channel_candidate,0.072682,0.80342,0.672159
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_077,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_077,cn7_te4,cn7_te4,5.1969,5.1969,-0.039551,0.0,in_gap_or_open_channel_candidate,0.090901,0.824022,0.708793
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_078,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_078,cn7_te4,cn7_te4,6.7731,6.7731,0.003754,0.0,in_gap_or_open_channel_candidate,0.116904,0.847256,0.747892
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_080,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_080,cn7_te4,cn7_te4,5.2271,5.2271,1.734467,0.0,in_gap_or_open_channel_candidate,0.147,0.796667,0.627532
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_082,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_082,cn7_te4,cn7_te4,4.7684,4.7684,2.154602,0.0,in_gap_or_open_channel_candidate,0.152867,0.783188,0.596337
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_083,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_083,cn7_te4,cn7_te4,5.2685,5.2685,2.13794,0.0,in_gap_or_open_channel_candidate,0.160944,0.790647,0.608999
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_084,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_084,cn7_te4,cn7_te4,5.0558,5.0558,1.612854,0.0,in_gap_or_open_channel_candidate,0.140058,0.7962,0.629353
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_085,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_085,cn7_te4,cn7_te4,6.7484,6.7484,-0.00888,0.0,in_gap_or_open_channel_candidate,0.116646,0.846817,0.747059
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_087,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_087,cn7_te4,cn7_te4,5.2504,5.2504,1.786255,0.0,in_gap_or_open_channel_candidate,0.149099,0.796153,0.62558
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_088,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_088,cn7_te4,cn7_te4,6.7685,6.7685,-0.012451,0.0,in_gap_or_open_channel_candidate,0.11711,0.847047,0.747363
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_090,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_090,cn7_te4,cn7_te4,6.7357,6.7357,-0.005249,0.0,in_gap_or_open_channel_candidate,0.116308,0.846694,0.746933
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_092,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_092,cn7_te4,cn7_te4,4.9336,4.9336,2.146668,0.0,in_gap_or_open_channel_candidate,0.155455,0.785692,0.600637
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_093,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_093,cn7_te4,cn7_te4,5.2092,5.2092,-0.039612,0.0,in_gap_or_open_channel_candidate,0.091115,0.824198,0.709082
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_094,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_094,cn7_te4,cn7_te4,4.8338,4.8338,2.811218,0.0,in_gap_or_open_channel_candidate,0.175526,0.773362,0.566129
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_095,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_095,cn7_te4,cn7_te4,6.6588,6.6588,0.019104,0.0,in_gap_or_open_channel_candidate,0.115437,0.845362,0.74444
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_096,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_096,cn7_te4,cn6_te3,7.521,7.521,2.415253,-0.15,in_gap_or_open_channel_candidate,0.283874,0.720964,0.605113
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_097,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_097,cn7_te4,cn6_te3,4.1844,4.1844,1.455963,-0.15,in_gap_or_open_channel_candidate,0.194889,0.688751,0.572407
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_098,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_098,cn7_te4,cn6_te3,6.7181,6.7181,-0.007995,-0.15,in_gap_or_open_channel_candidate,0.191095,0.748896,0.702508
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_100,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_100,cn7_te4,cn6_te3,4.952,4.952,4.142731,-0.15,in_gap_or_open_channel_candidate,0.296225,0.65573,0.460656
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_126,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_126,cn7_te4,cn6_te3,7.6986,7.6986,1.25766,-0.15,in_gap_or_open_channel_candidate,0.248978,0.742495,0.665312
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_040,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_040,cn7_te4,cn7_te3,3.6787,3.6787,2.445892,0.0,in_gap_or_open_channel_candidate,0.14363,0.762755,0.556414
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_041,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_041,cn7_te4,cn7_te3,3.5188,3.5188,0.592621,0.0,in_gap_or_open_channel_candidate,0.080103,0.790843,0.642259
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_042,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_042,cn7_te4,cn7_te3,3.9184,3.9184,-1.955292,0.0,in_gap_or_open_channel_candidate,0.131676,0.774243,0.585825
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_043,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_043,cn7_te4,cn7_te3,3.2446,3.2446,-1.205688,0.0,in_gap_or_open_channel_candidate,0.095478,0.776851,0.606107
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_044,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_044,cn7_te4,cn7_te3,2.1841,2.1841,-0.087585,0.0,in_gap_or_open_channel_candidate,0.04053,0.779946,0.635044
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_046,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_046,cn7_te4,cn7_te3,4.1884,4.1884,1.022278,0.0,in_gap_or_open_channel_candidate,0.105737,0.793419,0.637353
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_047,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_047,cn7_te4,cn7_te3,3.3638,3.3638,2.917999,0.0,in_gap_or_open_channel_candidate,0.153682,0.75049,0.526114
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_048,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_048,cn7_te4,cn7_te3,4.4626,4.4626,2.30658,0.0,in_gap_or_open_channel_candidate,0.152578,0.776302,0.581736
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_066,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_066,cn7_te4,cn10_te4,4.1406,4.1406,-1.232849,0.3,mixed_transition_candidate,0.261818,0.59428,0.538285
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_067,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_067,cn7_te4,cn10_te4,5.1496,5.1496,-0.049133,0.3,in_gap_or_open_channel_candidate,0.2404,0.628185,0.619458
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_068,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_068,cn7_te4,cn10_te4,3.9389,3.9389,-1.956451,0.3,mixed_transition_candidate,0.282068,0.579518,0.498505
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_069,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_069,cn7_te4,cn10_te4,4.0978,4.0978,-0.330719,0.3,mixed_transition_candidate,0.231498,0.608456,0.580903
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_070,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_070,cn7_te4,cn6_te3,4.1107,4.1107,-0.408905,-0.15,in_gap_or_open_channel_candidate,0.159284,0.704859,0.621302
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_071,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_071,cn7_te4,cn7_te4,4.2577,4.2577,-1.08902,0.0,in_gap_or_open_channel_candidate,0.109121,0.793321,0.635768
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_072,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_072,cn7_te4,cn7_te4,5.147,5.147,-1.812347,0.0,in_gap_or_open_channel_candidate,0.148172,0.794239,0.621866
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_073,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_073,cn7_te4,cn7_te4,4.5127,4.5127,-0.932922,0.0,in_gap_or_open_channel_candidate,0.108399,0.799544,0.649363
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_074,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_074,cn7_te4,cn7_te4,3.8776,3.8776,-1.953857,0.0,in_gap_or_open_channel_candidate,0.130926,0.77368,0.584927
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_077,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_077,cn7_te4,cn7_te4,5.17,5.17,-1.829926,0.0,in_gap_or_open_channel_candidate,0.149145,0.794281,0.621561
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_078,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_078,cn7_te4,cn7_te4,6.7462,6.7462,-1.786621,0.0,in_gap_or_open_channel_candidate,0.174902,0.817639,0.661024
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_080,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_080,cn7_te4,cn7_te4,5.2002,5.2002,-0.055908,0.0,in_gap_or_open_channel_candidate,0.091494,0.823801,0.70808
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_082,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_082,cn7_te4,cn7_te4,4.7415,4.7415,0.364227,0.0,in_gap_or_open_channel_candidate,0.093696,0.812155,0.682293
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_083,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_083,cn7_te4,cn7_te4,5.2416,5.2416,0.347565,0.0,in_gap_or_open_channel_candidate,0.101772,0.819614,0.694955
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_084,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_084,cn7_te4,cn7_te4,5.0289,5.0289,-0.177521,0.0,in_gap_or_open_channel_candidate,0.092529,0.819346,0.698137
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_085,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_085,cn7_te4,cn7_te4,6.7215,6.7215,-1.799255,0.0,in_gap_or_open_channel_candidate,0.17489,0.817077,0.659827
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_087,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_087,cn7_te4,cn7_te4,5.2235,5.2235,-0.00412,0.0,in_gap_or_open_channel_candidate,0.090198,0.824985,0.711137
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_088,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_088,cn7_te4,cn7_te4,6.7416,6.7416,-1.802826,0.0,in_gap_or_open_channel_candidate,0.175354,0.817307,0.660131
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_090,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_090,cn7_te4,cn7_te4,6.7088,6.7088,-1.795624,0.0,in_gap_or_open_channel_candidate,0.174552,0.816954,0.659702
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_092,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_092,cn7_te4,cn7_te4,4.9067,4.9067,0.356293,0.0,in_gap_or_open_channel_candidate,0.096284,0.814659,0.686593
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_093,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_093,cn7_te4,cn7_te4,5.1823,5.1823,-1.829987,0.0,in_gap_or_open_channel_candidate,0.149359,0.794457,0.62185
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_094,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_094,cn7_te4,cn7_te4,4.8069,4.8069,1.020843,0.0,in_gap_or_open_channel_candidate,0.116354,0.80233,0.652085
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_095,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_095,cn7_te4,cn7_te4,6.6319,6.6319,-1.771271,0.0,in_gap_or_open_channel_candidate,0.172428,0.816248,0.659056
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_096,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_096,cn7_te4,cn6_te3,7.4941,7.4941,0.624878,-0.15,in_gap_or_open_channel_candidate,0.224703,0.749932,0.691069
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_097,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_097,cn7_te4,cn6_te3,4.1575,4.1575,-0.334412,-0.15,in_gap_or_open_channel_candidate,0.157649,0.706753,0.626015
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_098,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_098,cn7_te4,cn6_te3,6.6912,6.6912,-1.79837,-0.15,in_gap_or_open_channel_candidate,0.249339,0.719156,0.615276
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_100,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_100,cn7_te4,cn6_te3,4.9251,4.9251,2.352356,-0.15,in_gap_or_open_channel_candidate,0.237054,0.684697,0.546612
joshitha_sites::joshitha_sites::unique_002__to__joshitha_sites::joshitha_sites::unique_126,joshitha_sites,joshitha_sites::joshitha_sites::unique_002,joshitha_sites::joshitha_sites::unique_126,cn7_te4,cn6_te3,7.6717,7.6717,-0.532715,-0.15,in_gap_or_open_channel_candidate,0.224743,0.753995,0.699737
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_015,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_015,cn7_te4,cn7_te4,0.5578,0.5578,2.441071,0.0,in_gap_or_open_channel_candidate,0.089662,0.717992,0.482658
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_017,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_017,cn7_te4,cn7_te4,0.4302,0.4302,1.053192,0.0,in_gap_or_open_channel_candidate,0.041952,0.738914,0.54676
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_040,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_040,cn7_te4,cn7_te3,3.8952,3.8952,3.29306,0.0,in_gap_or_open_channel_candidate,0.175143,0.751976,0.520572
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_041,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_041,cn7_te4,cn7_te3,3.7353,3.7353,1.439789,0.0,in_gap_or_open_channel_candidate,0.111615,0.780064,0.606417
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_042,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_042,cn7_te4,cn7_te3,4.1349,4.1349,-1.108124,0.0,in_gap_or_open_channel_candidate,0.10763,0.791243,0.631932
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_043,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_043,cn7_te4,cn7_te3,3.4611,3.4611,-0.35852,0.0,in_gap_or_open_channel_candidate,0.071432,0.793852,0.652214
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_044,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_044,cn7_te4,cn7_te3,2.4006,2.4006,0.759583,0.0,in_gap_or_open_channel_candidate,0.066298,0.772039,0.607674
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_046,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_046,cn7_te4,cn7_te3,4.4049,4.4049,1.869446,0.0,in_gap_or_open_channel_candidate,0.137249,0.78264,0.601511
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_047,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_047,cn7_te4,cn7_te3,3.5803,3.5803,3.765167,0.0,in_gap_or_open_channel_candidate,0.185194,0.739711,0.490273
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_048,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_048,cn7_te4,cn7_te3,4.6791,4.6791,3.153748,0.0,in_gap_or_open_channel_candidate,0.18409,0.765523,0.545895
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_066,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_066,cn7_te4,cn10_te4,4.3571,4.3571,-0.385681,0.3,mixed_transition_candidate,0.237771,0.61128,0.584392
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_067,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_067,cn7_te4,cn10_te4,5.3661,5.3661,0.798035,0.3,mixed_transition_candidate,0.26869,0.619017,0.588369
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_068,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_068,cn7_te4,cn10_te4,4.1554,4.1554,-1.109283,0.3,mixed_transition_candidate,0.258021,0.596519,0.544612
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_069,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_069,cn7_te4,cn10_te4,4.3143,4.3143,0.516449,0.3,mixed_transition_candidate,0.241321,0.608521,0.577053
joshitha_sites::joshitha_sites::unique_007__to__joshitha_sites::joshitha_sites::unique_070,joshitha_sites,joshitha_sites::joshitha_sites::unique_007,joshitha_sites::joshitha_sites::unique_070,cn7_te4,cn6_te3,4.3272,4.3272,0.438263,-0.15,in_gap_or_open_channel_candidate,0.16398,0.707489,0.625015
