site_id,geometry,migrant_z_A,screening_energy_eV,z_rank_score,geometry_complexity_score,stability_score,qe_input_path,source_csv,source_sha256
unique_031,octahedral,17.2503,-300.352448,0.096905,0.25,0.938799,results/interstitial_search/qe_inputs/unique_031/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_033,cn8_te4,17.2621,-300.349365,0.097583,0.72,0.938319,results/interstitial_search/qe_inputs/unique_033/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_034,cn8_te4,16.68,-295.267303,0.064128,0.72,0.148135,results/interstitial_search/qe_inputs/unique_034/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_036,cn8_te4,18.3602,-296.26532,0.160694,0.72,0.303312,results/interstitial_search/qe_inputs/unique_036/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_037,cn8_te4,18.2386,-297.814331,0.153706,0.72,0.54416,results/interstitial_search/qe_inputs/unique_037/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_038,cn8_te4,17.2461,-300.350128,0.096664,0.72,0.938438,results/interstitial_search/qe_inputs/unique_038/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_039,cn8_te4,18.2294,-297.892609,0.153177,0.72,0.556331,results/interstitial_search/qe_inputs/unique_039/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_051,cn8_te4,19.8255,-300.4104,0.244909,0.72,0.947809,results/interstitial_search/qe_inputs/unique_051/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_052,cn8_te4,19.0749,-298.304108,0.20177,0.72,0.620313,results/interstitial_search/qe_inputs/unique_052/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_053,cn8_te4,18.7575,-296.454437,0.183528,0.72,0.332716,results/interstitial_search/qe_inputs/unique_053/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_055,cn8_te4,19.9688,-297.12677,0.253145,0.72,0.437254,results/interstitial_search/qe_inputs/unique_055/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_056,cn8_te4,20.2067,-298.726013,0.266818,0.72,0.685912,results/interstitial_search/qe_inputs/unique_056/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_057,cn8_te4,19.8308,-300.414124,0.245214,0.72,0.948388,results/interstitial_search/qe_inputs/unique_057/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_058,cn8_te4,19.3985,-297.629028,0.220368,0.72,0.515348,results/interstitial_search/qe_inputs/unique_058/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_059,cn8_te4,19.3391,-295.940521,0.216955,0.72,0.25281,results/interstitial_search/qe_inputs/unique_059/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_060,cn8_te4,19.117,-295.557373,0.20419,0.72,0.193236,results/interstitial_search/qe_inputs/unique_060/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_062,cn8_te4,17.6658,-296.482513,0.120785,0.72,0.337082,results/interstitial_search/qe_inputs/unique_062/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_063,cn8_te4,18.0604,-294.71109,0.143464,0.72,0.061652,results/interstitial_search/qe_inputs/unique_063/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_064,cn8_te4,19.7836,-300.415222,0.242501,0.72,0.948559,results/interstitial_search/qe_inputs/unique_064/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_065,cn8_te4,20.214,-298.217224,0.267238,0.72,0.606803,results/interstitial_search/qe_inputs/unique_065/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_079,octahedral,23.6945,-300.742035,0.467272,0.25,0.999374,results/interstitial_search/qe_inputs/unique_079/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_101,octahedral,23.4873,-297.105469,0.455364,0.25,0.433942,results/interstitial_search/qe_inputs/unique_101/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_102,octahedral,23.7236,-300.745331,0.468945,0.25,0.999886,results/interstitial_search/qe_inputs/unique_102/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_104,octahedral,23.7194,-300.746063,0.468703,0.25,1.0,results/interstitial_search/qe_inputs/unique_104/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_105,octahedral,24.3818,-298.817993,0.506773,0.25,0.700214,results/interstitial_search/qe_inputs/unique_105/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_106,octahedral,24.6091,-298.007172,0.519837,0.25,0.574143,results/interstitial_search/qe_inputs/unique_106/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_107,octahedral,24.9627,-299.553772,0.540159,0.25,0.814617,results/interstitial_search/qe_inputs/unique_107/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_108,octahedral,22.0294,-295.097351,0.371574,0.25,0.12171,results/interstitial_search/qe_inputs/unique_108/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_109,octahedral,24.0724,-298.350128,0.488991,0.25,0.627468,results/interstitial_search/qe_inputs/unique_109/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_110,octahedral,23.5974,-300.060547,0.461691,0.25,0.893413,results/interstitial_search/qe_inputs/unique_110/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_111,octahedral,24.4443,-296.243652,0.510365,0.25,0.299943,results/interstitial_search/qe_inputs/unique_111/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_113,octahedral,22.8715,-297.684143,0.419972,0.25,0.523917,results/interstitial_search/qe_inputs/unique_113/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_114,octahedral,23.0511,-298.820374,0.430294,0.25,0.700584,results/interstitial_search/qe_inputs/unique_114/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_115,octahedral,23.7264,-300.744781,0.469105,0.25,0.999801,results/interstitial_search/qe_inputs/unique_115/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_116,octahedral,22.9877,-298.164307,0.42665,0.25,0.598576,results/interstitial_search/qe_inputs/unique_116/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_117,octahedral,22.7183,-296.263885,0.411167,0.25,0.303088,results/interstitial_search/qe_inputs/unique_117/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_119,octahedral,23.7376,-300.74527,0.469749,0.25,0.999877,results/interstitial_search/qe_inputs/unique_119/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_121,octahedral,23.7144,-300.737122,0.468416,0.25,0.99861,results/interstitial_search/qe_inputs/unique_121/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_122,octahedral,25.1892,-297.718079,0.553177,0.25,0.529194,results/interstitial_search/qe_inputs/unique_122/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_124,octahedral,23.7296,-300.743347,0.469289,0.25,0.999578,results/interstitial_search/qe_inputs/unique_124/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_125,octahedral,23.02,-298.245087,0.428507,0.25,0.611136,results/interstitial_search/qe_inputs/unique_125/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_158,cn8_te4,27.3884,-299.553986,0.679571,0.72,0.81465,results/interstitial_search/qe_inputs/unique_158/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_159,cn8_te4,27.3084,-299.37146,0.674973,0.72,0.78627,results/interstitial_search/qe_inputs/unique_159/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_160,cn8_te4,26.3579,-300.29422,0.620345,0.72,0.929745,results/interstitial_search/qe_inputs/unique_160/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_161,cn8_te4,27.2067,-299.31015,0.669128,0.72,0.776737,results/interstitial_search/qe_inputs/unique_161/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_162,cn8_te4,26.633,-299.019165,0.636156,0.72,0.731493,results/interstitial_search/qe_inputs/unique_162/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_171,cn8_te4,27.6495,-300.410675,0.694577,0.72,0.947852,results/interstitial_search/qe_inputs/unique_171/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_180,cn8_te4,27.097,-298.591431,0.662824,0.72,0.664987,results/interstitial_search/qe_inputs/unique_180/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_181,cn8_te4,27.5612,-296.395447,0.689503,0.72,0.323544,results/interstitial_search/qe_inputs/unique_181/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_182,cn8_te4,27.6351,-300.416534,0.69375,0.72,0.948763,results/interstitial_search/qe_inputs/unique_182/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_188,cn8_te4,30.6264,-299.660522,0.865669,0.72,0.831215,results/interstitial_search/qe_inputs/unique_188/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_189,cn8_te4,30.1829,-300.350159,0.840179,0.72,0.938443,results/interstitial_search/qe_inputs/unique_189/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_190,cn8_te4,30.465,-298.526794,0.856392,0.72,0.654937,results/interstitial_search/qe_inputs/unique_190/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_191,cn8_te4,29.9869,-299.45578,0.828915,0.72,0.79938,results/interstitial_search/qe_inputs/unique_191/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_200,cn8_te4,30.1975,-300.348358,0.841018,0.72,0.938163,results/interstitial_search/qe_inputs/unique_200/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_201,cn8_te4,30.2305,-298.115631,0.842915,0.72,0.591007,results/interstitial_search/qe_inputs/unique_201/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_202,cn8_te4,30.7653,-295.267426,0.873652,0.72,0.148154,results/interstitial_search/qe_inputs/unique_202/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_204,cn8_te4,30.1967,-300.352905,0.840972,0.72,0.93887,results/interstitial_search/qe_inputs/unique_204/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_207,cn8_te4,29.5104,-298.229492,0.801529,0.72,0.608711,results/interstitial_search/qe_inputs/unique_207/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_209,cn8_te4,30.362,-299.128784,0.850473,0.72,0.748537,results/interstitial_search/qe_inputs/unique_209/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_210,cn8_te4,29.4656,-298.186554,0.798954,0.72,0.602035,results/interstitial_search/qe_inputs/unique_210/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_211,cn8_te4,29.5985,-297.254669,0.806592,0.72,0.457141,results/interstitial_search/qe_inputs/unique_211/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_212,cn8_te4,30.1102,-296.66803,0.836001,0.72,0.365927,results/interstitial_search/qe_inputs/unique_212/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
unique_001,cn7_te4,15.864,-300.24527,0.01723,0.6,0.922134,results/interstitial_search/qe_inputs/unique_001/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_002,cn7_te4,15.8909,-298.454895,0.018776,0.6,0.643758,results/interstitial_search/qe_inputs/unique_002/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_007,cn7_te4,15.6744,-299.302063,0.006334,0.6,0.77548,results/interstitial_search/qe_inputs/unique_007/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_009,cn7_te4,16.0734,-298.580841,0.029265,0.6,0.66334,results/interstitial_search/qe_inputs/unique_009/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_010,cn7_te4,15.5642,-298.584686,0.0,0.6,0.663938,results/interstitial_search/qe_inputs/unique_010/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_012,cn7_te4,15.8707,-297.982605,0.017615,0.6,0.570324,results/interstitial_search/qe_inputs/unique_012/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_014,cn7_te4,15.959,-300.251251,0.02269,0.6,0.923064,results/interstitial_search/qe_inputs/unique_014/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_015,cn7_te4,16.2322,-296.860992,0.038392,0.6,0.39593,results/interstitial_search/qe_inputs/unique_015/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_016,cn7_te4,15.5979,-296.993378,0.001937,0.6,0.416514,results/interstitial_search/qe_inputs/unique_016/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_017,cn7_te4,16.1046,-298.248871,0.031058,0.6,0.611724,results/interstitial_search/qe_inputs/unique_017/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_040,cn7_te3,19.5696,-296.009003,0.230202,0.6,0.263458,results/interstitial_search/qe_inputs/unique_040/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_041,cn7_te3,19.4097,-297.862274,0.221012,0.6,0.551614,results/interstitial_search/qe_inputs/unique_041/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_042,cn7_te3,19.8093,-300.410187,0.243978,0.6,0.947776,results/interstitial_search/qe_inputs/unique_042/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_043,cn7_te3,19.1355,-299.660583,0.205253,0.6,0.831224,results/interstitial_search/qe_inputs/unique_043/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_044,cn7_te3,18.075,-298.54248,0.144303,0.6,0.657376,results/interstitial_search/qe_inputs/unique_044/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_046,cn7_te3,20.0793,-297.432617,0.259496,0.6,0.484809,results/interstitial_search/qe_inputs/unique_046/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_047,cn7_te3,19.2547,-295.536896,0.212104,0.6,0.190053,results/interstitial_search/qe_inputs/unique_047/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_048,cn7_te3,20.3535,-296.148315,0.275255,0.6,0.285119,results/interstitial_search/qe_inputs/unique_048/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_066,cn10_te4,20.0315,-299.687744,0.256749,0.9,0.835447,results/interstitial_search/qe_inputs/unique_066/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_067,cn10_te4,21.0405,-298.504028,0.314739,0.9,0.651397,results/interstitial_search/qe_inputs/unique_067/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_068,cn10_te4,19.8298,-300.411346,0.245156,0.9,0.947957,results/interstitial_search/qe_inputs/unique_068/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
unique_069,cn10_te4,19.9887,-298.785614,0.254289,0.9,0.69518,results/interstitial_search/qe_inputs/unique_069/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/joshitha_sites.csv,6811862232ebe0e6711717e45f82647f830bea05583049ce3f5d20d690520170
