run_id,source_collection,relative_path,slurm_job_id,manifest_count,file_count,bytes,tree_sha256
mb_qe17_pf2_s42_30763472,revision1,data/raw_compact/revision1/mb_qe17_pf2_s42_30763472,,0,7,35991,646a198fe8c89e5bdb49da33d9adf6b71492b51f85746ecf6239859e1d7e878b
mb_qe17_pf_s42_30762290,revision1,data/raw_compact/revision1/mb_qe17_pf_s42_30762290,,0,9,109958,e3f79780127cfc596a59dbc200e3f1b5b4d7524d14300f00cf5d788183829caf
mb_qe17_pfmem_s42_30763477,revision1,data/raw_compact/revision1/mb_qe17_pfmem_s42_30763477,,0,7,35991,82fa53931d3386c3be147b99824c0c9b9137a337b3200d01fa0a38ed8d541dd0
neb_benchmark,revision1,data/raw_compact/revision1/neb_benchmark,,0,22,115915,07a5a664138772a9d71f4a546ad4a318265de4f341589ddf564c1e021bbd3446
templates,revision1,data/raw_compact/revision1/templates,,0,15,82671,5054a0074ab89eddef9b9325cb7ecae8d086def5b33e84a8f7ee4de5d0e29caf
training_provenance,revision1,data/raw_compact/revision1/training_provenance,,0,3,7901,20b7abefca94fd77ba53e0debee8ab29cfff81fc32d0848274b65491ad133e5f
mb_cleargraph15_s48_30850985,rockfish,data/raw_compact/rockfish/mb_cleargraph15_s48_30850985,,0,2,51252,5c8da8b19659afefcb07306b4b555e6077bd05bb1c9a2f141c9a1742cad304ae
mb_d13i2s47,rockfish,data/raw_compact/rockfish/mb_d13i2s47_30850842,,1,4,208711,030c798de9495c96a15dda0097d2a8218cd701b949866e3915259e73fa7f138a
mb_d13i3s47,rockfish,data/raw_compact/rockfish/mb_d13i3s47_30850843,,1,4,275634,f1c71ccf082b27c7e4af04cd543d1e932501a65909c3fd415f7a5099ce3ac7d9
mb_d15i2s47,rockfish,data/raw_compact/rockfish/mb_d15i2s47_30850846,,1,4,257314,0162158fe19edb94197deb599f311e6b0aec0f0c1687a1c4c4926b4bcb3700d8
mb_d16t108i2r2s42,rockfish,data/raw_compact/rockfish/mb_d16t108i2r2s42_30851800,,1,4,664946,a77e064f6331767fcb2fe638e6cad4f03e9c7ebb792e7a49dd1c638f6767c69c
mb_d16t108i2s42,rockfish,data/raw_compact/rockfish/mb_d16t108i2s42_30844024,,1,4,304864,ce5afd12f8e97905d3c833a58819cceec93caafccc6972b4db937956eea96fe1
mb_d16t108i5r2s42,rockfish,data/raw_compact/rockfish/mb_d16t108i5r2s42_30851807,,1,4,581433,5ca1cc2779bc9a4b108111a8437ddc18b46c027faf897045618ef79650bc6dcb
mb_d16t108i5s42,rockfish,data/raw_compact/rockfish/mb_d16t108i5s42_30844025,,1,4,268010,30a5b07307dabf604db50dff173c1c0cfa8aafb8a3fb8021bd09ac203993ef73
mb_d17t112i2r2s42,rockfish,data/raw_compact/rockfish/mb_d17t112i2r2s42_30851802,,1,4,702442,e212218b44653929bd0b762fc22a2851595d09073cd2c9dd0b247f3bbcc02aea
mb_d17t112i2s42,rockfish,data/raw_compact/rockfish/mb_d17t112i2s42_30844039,,1,4,304728,4bbc1aef6f94aa1b1965377dda79fba416976f2e5986e0f9841b19b0d08d5069
mb_d17t112i5r2s42,rockfish,data/raw_compact/rockfish/mb_d17t112i5r2s42_30851808,,1,4,255581,03060859ec104b6a09ca3bc054673fb7301c18b77869837ad103f1cfea468dfb
mb_d17t112i5s42,rockfish,data/raw_compact/rockfish/mb_d17t112i5s42_30844053,,1,4,268386,4576341feed2745204bddee1ef9bbc84844aa1eb5e0b046b41846cb5f9ca34ea
mb_ep_14historical_i1_r2s42,rockfish,data/raw_compact/rockfish/mb_ep_14historical_i1_r2s42_30872019,,2,6,713938,2d4f115379675555e70ddf748554ac436a6bab572f50012ea7f79dc21b44a171
mb_ep_14historical_i1_r3s42,rockfish,data/raw_compact/rockfish/mb_ep_14historical_i1_r3s42_30877468,,2,6,112391,d59c481f0772aa6afd34552e5884dd89b65efed90d05b564275b044faacbfdeb
mb_ep_14historical_i1_r4s42,rockfish,data/raw_compact/rockfish/mb_ep_14historical_i1_r4s42_30879755,,2,6,2133217,b949c34be1274d1d746834c66039a706d6ed7e004f865f7ec950bda7322e8235
mb_ep_14historical_i1_s42,rockfish,data/raw_compact/rockfish/mb_ep_14historical_i1_s42_30852638,,2,5,200044,e63383eb893c1c42d8188ffe15fa1452d4cf25f735f00f1af5c53f5e0007c857
mb_ep_14historical_i4_s42,rockfish,data/raw_compact/rockfish/mb_ep_14historical_i4_s42_30852853,,2,5,399695,93f019f6e7ea15a084b4a0c5c8bc3e1690c897f1c6c59ebe7a96ab8749492abe
mb_ep_14historical_i5_r2s42,rockfish,data/raw_compact/rockfish/mb_ep_14historical_i5_r2s42_30872029,,2,5,340411,d35d2a5221a7d515270038f4d0abd0e07a49c6828906267746f9e648f819b051
mb_ep_14historical_i5_r3s42,rockfish,data/raw_compact/rockfish/mb_ep_14historical_i5_r3s42_30879756,,2,5,328255,d72435209e233029cbbd64e5c3f79477b968445c20e5bd5365f4a5e60943498f
mb_ep_14historical_i5_s42,rockfish,data/raw_compact/rockfish/mb_ep_14historical_i5_s42_30852854,,2,5,140321,149888cf82f773206d8c26270edf636555417b51a67ab59cd5144916cbc800ec
mb_ep_16qer3_i1_s42,rockfish,data/raw_compact/rockfish/mb_ep_16qer3_i1_s42_30843292,,1,4,277465,2b8adc07885dac5e2584d217676896a2c2316a3c10df77114f59521299c6574a
mb_ep_16qer3_i2_s42,rockfish,data/raw_compact/rockfish/mb_ep_16qer3_i2_s42_30843300,,1,4,289792,871fc8024ede9bd29c67c381bf79744eda7ff06cf8dac1c95f60581d3c171c2f
mb_ep_16qer3_i5_s42,rockfish,data/raw_compact/rockfish/mb_ep_16qer3_i5_s42_30843307,,1,4,263320,63295eed9d1bf270476dd4850c8fc7bd4f7d8755a3b34aa9dcbfd4b4c49d6e6f
mb_ep_17qer3_i1_s42,rockfish,data/raw_compact/rockfish/mb_ep_17qer3_i1_s42_30843324,,1,4,255006,ccd9e4c1c2464da7b75a9a701c476541c1c28c74f12ff4404568f9caca5ac58a
mb_ep_17qer3_i2_s42,rockfish,data/raw_compact/rockfish/mb_ep_17qer3_i2_s42_30843325,,1,4,295631,db22a9a5ccc16269388c2ca591c5b282a17d195a59ad92c8fe5bb36a111861a3
mb_ep_17qer3_i5_s42,rockfish,data/raw_compact/rockfish/mb_ep_17qer3_i5_s42_30843348,,1,4,263093,2269163db59db4531c8ac9a28446fabd4168578edf3067b0c02eb4cb1fd2094a
mb_epaccept2_sm_s42_30850575,rockfish,data/raw_compact/rockfish/mb_epaccept2_sm_s42_30850575,,0,2,2754,c5ac641687b307b2065d0cef7e0176a9a383a59e20053bfffd18d5aca0b77c2f
mb_epaccept3_sm_s42_30850580,rockfish,data/raw_compact/rockfish/mb_epaccept3_sm_s42_30850580,,2,15,9683,746274915541e433db1c321ffbd91ada30164688b2bf5c940483e8bb3e0d1b7e
mb_epaccept_sm_s42_30850569,rockfish,data/raw_compact/rockfish/mb_epaccept_sm_s42_30850569,,0,2,2754,b8e5726df43272163f3dc772a87ffd95a6bf7b7fc2be3b73787d89565b614128
mb_epbasin_sm_s42_30850601,rockfish,data/raw_compact/rockfish/mb_epbasin_sm_s42_30850601,,2,17,17405,86e27ca7f2772b8df5879d05edf69a5fc807f77a2589724dabf0bd092cbeb05b
mb_epx_16qer3_i2_s42,rockfish,data/raw_compact/rockfish/mb_epx_16qer3_i2_s42_30843835,,1,4,39267,c5a713d329c0b48fc37ec13b8d46803388d4de17d99e83292c27b04c899a5e22
mb_epx_16qer3_i5_s42,rockfish,data/raw_compact/rockfish/mb_epx_16qer3_i5_s42_30843837,,1,4,38417,6531d7b9cf60a4b432f5f5b2ee652ca7d4f0e4a45855f3fff9924e22f09dbf3a
mb_epx_17qer3_i2_s42,rockfish,data/raw_compact/rockfish/mb_epx_17qer3_i2_s42_30843840,,1,4,36816,02a1df577cff8f402b8b9a8ed01fc82507cb4b63b0b2d9d93fa78bd0c45b9825
mb_epx_17qer3_i5_s42,rockfish,data/raw_compact/rockfish/mb_epx_17qer3_i5_s42_30843841,,1,4,32285,d8e52b1e094af026246f10fdd87c8fdbfef2ea58809712fdfd2d264e61b77147
mb_geomcov15_s48_30850995,rockfish,data/raw_compact/rockfish/mb_geomcov15_s48_30850995,,0,2,2975,005b40d3c699f5276060cb2361dd11861cc13cec8c6667aa407f17c894ace862
mb_leak2_qe1617_s42_30845544,rockfish,data/raw_compact/rockfish/mb_leak2_qe1617_s42_30845544,,0,4,257227,b5d813a1714ea57c0a8f6e34bea9fca5e75b5f512d17ba43ed91330288282bce
mb_mlff_cpu_1_2_s42_30791344,rockfish,data/raw_compact/rockfish/mb_mlff_cpu_1_2_s42_30791344,,1,2,30867,9004830be9d714ed8e5a85a1a02538cb588a10d6f7b15905dbe75edcf410b918
mb_mlff_cpu_1_3_s42_30791345,rockfish,data/raw_compact/rockfish/mb_mlff_cpu_1_3_s42_30791345,,1,3,16668,fa510a0f5ced407748e13677145c98ebc3b192febbc6e90b8b72a6748776f917
mb_mlff_cpu_1_5_s42_30791346,rockfish,data/raw_compact/rockfish/mb_mlff_cpu_1_5_s42_30791346,,1,2,30882,3d4baae3764a048cddd24e3a3d19f027486f4f6efa1b69dd1836e3cb2ff7a6d3
mb_mlff_cpu_1_6_repair_idpp_s42_30791499,rockfish,data/raw_compact/rockfish/mb_mlff_cpu_1_6_repair_idpp_s42_30791499,,1,3,49382,602bf62accf1fc1b1c4aaba7f1786de57f47fb10ee73ead3c58a0e1bfe2116df
mb_mlff_cpu_1_6_s42_30791347,rockfish,data/raw_compact/rockfish/mb_mlff_cpu_1_6_s42_30791347,,1,2,28455,fd9459909c387d15c80f7ab22897b130c230d695809f3de19620defac2fd790f
mb_mlhist_smoke_s42_30850333,rockfish,data/raw_compact/rockfish/mb_mlhist_smoke_s42_30850333,,0,5,196456,b16320060d738922d95e234dc0f546ee7acb505611abb36dabda075ccd6717cf
mb_mrep13_dir_s46_30850728,rockfish,data/raw_compact/rockfish/mb_mrep13_dir_s46_30850728,,1,5,195488,dad368f405013d1fed92b1c7691237f45b47c63f2b354394c0d82977edb6ab77
mb_mrep13_fix_s46_30850729,rockfish,data/raw_compact/rockfish/mb_mrep13_fix_s46_30850729,,1,5,161854,de6df79e24a296b7928ce3a5c14158f7145bb82682eacba1f8232607ea01ffad
mb_mrep13p_dir_s47_30850830,rockfish,data/raw_compact/rockfish/mb_mrep13p_dir_s47_30850830,,1,5,89979,5122efed881a01c197b9c7782142f1bd3a16df265e3b35ac537178cbfde0a8ca
mb_mrep13p_fix_s47_30850831,rockfish,data/raw_compact/rockfish/mb_mrep13p_fix_s47_30850831,,1,5,192093,8c74dc6b36a1a53fe80c03bb355c451717d9483861026686de7fac1035c53013
mb_mrep15_dir_s46_30850730,rockfish,data/raw_compact/rockfish/mb_mrep15_dir_s46_30850730,,1,5,160601,e211824eec5d584e3d36aba4bafd5a32c0011f99f56362e193aae5fa931b14d7
mb_mrep15_fix_s46_30850731,rockfish,data/raw_compact/rockfish/mb_mrep15_fix_s46_30850731,,1,5,147367,c7658c36cf665edca8f6879ccae26db39f00da582a1d79b70f21b24a53c48f99
mb_mrep15p_dir_s47_30850832,rockfish,data/raw_compact/rockfish/mb_mrep15p_dir_s47_30850832,,1,6,2093548,b99f9269b5f975a73eafb7966f1dfee926590910b5668654c6433bcc5dab79bd
mb_mrep15p_fix_s47_30850833,rockfish,data/raw_compact/rockfish/mb_mrep15p_fix_s47_30850833,,1,6,1380160,92ec41876058c08bd6f54ba03e2c05cc2183588739a41b38aafeecb9e36cc604
mb_mtq1e6199_r2_s42_30878877,rockfish,data/raw_compact/rockfish/mb_mtq1e6199_r2_s42_30878877,,1,8,52271,a5d272ff50ecd282c5cdaf6574aaabbe08e842222eefafb48e08002aaa4d4797
mb_mtq1e6199_r3_s42,rockfish,data/raw_compact/rockfish/mb_mtq1e6199_r3_s42_30961360,,2,9,53438,5701178739f2a8a2dc5f5a38ba0447a8b5a2142f74c3c0f52ed6e9bbce653131
mb_mtq1e6199_s42_30878870,rockfish,data/raw_compact/rockfish/mb_mtq1e6199_s42_30878870,,1,8,41938,72b2fcf615ddef2d1e58e5ba30de9f7d065dee48f9c38512568d9a211bc40bdd
mb_mtq486c15_r1_s42_30878880,rockfish,data/raw_compact/rockfish/mb_mtq486c15_r1_s42_30878880,,1,8,52434,8e5b64746d04292cf38854bd262562b6db798b00a219ac688d90934afd0402e7
mb_mtq486c15_r2_s42,rockfish,data/raw_compact/rockfish/mb_mtq486c15_r2_s42_30961302,,2,9,58034,baf8db466ce81c1f0d2a75bbeeafa5965dc5460fc92765207fb4d2d2108e0ed9
mb_mtq6a346d_r2_s42_30878874,rockfish,data/raw_compact/rockfish/mb_mtq6a346d_r2_s42_30878874,,1,8,53269,80f5642a78da3c1e8a25f5d530ef826eeb8d1d208f00b00a853f3023234481c7
mb_mtq6a346d_r3_s42,rockfish,data/raw_compact/rockfish/mb_mtq6a346d_r3_s42_30961364,,2,9,53453,3b0f45eb76951e48a1c503b0459c4367d41d9d2c4a5362ebe20534e9e1422270
mb_mtq6a346d_s42_30878869,rockfish,data/raw_compact/rockfish/mb_mtq6a346d_s42_30878869,,0,1,15445,e9b232edfa176a41492ab3e34c4b946411840a768323d6a525062668fe48054d
mb_mtqba7ef0_r1_s42_30878879,rockfish,data/raw_compact/rockfish/mb_mtqba7ef0_r1_s42_30878879,,1,8,60326,015098e27f79e69b301167d4874439a29bf5a65c415fd410bc1236fd6f74201c
mb_mtqba7ef0_r2_s42,rockfish,data/raw_compact/rockfish/mb_mtqba7ef0_r2_s42_30961315,,2,9,55915,3bac64281d2e3b9f6290aa75125fbcc4f29743f3fa6f42e14031813d876755fc
mb_nebrst_cp_s42,rockfish,data/raw_compact/rockfish/mb_nebrst_cp2_s42_30850065,,1,4,3143,37f3298f643e59736018d4f2ddaab3b53cad73701e302962107864922d7c5dd9
mb_nebrst_cp_s42,rockfish,data/raw_compact/rockfish/mb_nebrst_cp_s42_30850061,,1,4,3143,1f1b9c11ac6ceb081816c94b2b326a89f630bc91e6daa92bae96bc65824b2cc7
mb_nlm156058_dg8466_s42_30852143,rockfish,data/raw_compact/rockfish/mb_nlm156058_dg8466_s42_30852143,,3,7,95428,183f8fe423b3ff26749dec2bd5fa68c024de25c35715a019d5cf7ad4625c0d78
mb_nlm1e6199_dg8466_s42_30878812,rockfish,data/raw_compact/rockfish/mb_nlm1e6199_dg8466_s42_30878812,,3,11,3700703,a4c91dc7dd1eea54c18832820cf15be54f685629260999e8d1ea435a9f2dcce3
mb_nlm2a4ef3_dg8466_s42_30852144,rockfish,data/raw_compact/rockfish/mb_nlm2a4ef3_dg8466_s42_30852144,,3,7,108391,4c0051d12642c4cf1d1050e293dca8ceed6891f2af8cb1f60faa3735ca25f3c9
mb_nlm486c15_dg8466_s42_30878811,rockfish,data/raw_compact/rockfish/mb_nlm486c15_dg8466_s42_30878811,,3,11,3796386,00bed4c9e20abad6184ca86f818518708b088a8bd987e74ed9d885ebb1982fd4
mb_nlm486c15_dg8466_tr348f_s42_30878845,rockfish,data/raw_compact/rockfish/mb_nlm486c15_dg8466_tr348f_s42_30878845,,3,11,3132207,35e9961a81b7d6c2b29315bd9fd8d5aad4529b52130acb46a4090c3ac7baa36a
mb_nlm6a346d_dg8466_s42_30878808,rockfish,data/raw_compact/rockfish/mb_nlm6a346d_dg8466_s42_30878808,,3,9,123774,811f0a4046058cba32d3a510cd1d857eaa5cb9ef5709f1e54331243f0d7e9f89
mb_nlm6d1d33_dg8466_s45_30850448,rockfish,data/raw_compact/rockfish/mb_nlm6d1d33_dg8466_s45_30850448,,1,5,115518,3f800d9aae7940e052ff12bb33030dff3e2059911baa84e8b3fa00d5c2bceba8
mb_nlm6d1d33_dg9f86_s45_30850447,rockfish,data/raw_compact/rockfish/mb_nlm6d1d33_dg9f86_s45_30850447,,1,5,94354,c03b2e86f0830b1adec3c05025e8556902f3e3836be62661e5f0712038be4691
mb_nlm6d1d33_sm_s42_30850322,rockfish,data/raw_compact/rockfish/mb_nlm6d1d33_sm_s42_30850322,,1,3,54830,5f54595aacb167a15bba4a31d2b40a557ef800800b5241b9f4f7d521f950b54b
mb_nlm6d1d33_sm_s43_30850337,rockfish,data/raw_compact/rockfish/mb_nlm6d1d33_sm_s43_30850337,,1,12,640814,645cd79707bc9051558d1a566078f13df5799b872df6ef6dbc1ae6593acfee62
mb_nlm6d1d33_sm_s44_30850360,rockfish,data/raw_compact/rockfish/mb_nlm6d1d33_sm_s44_30850360,,1,9,446769,e1e698f483fcc659ba023094ab36c51ad342b486394da81e767eb35d852a5576
mb_nlmba7ef0_dg8466_s42_30878807,rockfish,data/raw_compact/rockfish/mb_nlmba7ef0_dg8466_s42_30878807,,3,9,201041,6ce5e37d6934bec854f81c301f95f2c676c0d7c4285f61ca6b576aba0522d5cf
mb_nlmba7ef0_dg8466_tr348f_s42_30878843,rockfish,data/raw_compact/rockfish/mb_nlmba7ef0_dg8466_tr348f_s42_30878843,,3,11,3036613,b84805569ed6d1cfbaf13280e62868760b1bc0416ac9829c673342cc439da13b
mb_nlmebc568_dg8466_s42_30852128,rockfish,data/raw_compact/rockfish/mb_nlmebc568_dg8466_s42_30852128,,3,8,1570694,0b64fd2b658d2fb31b14a3c66a807e4831a248cb3e7594ad51e9c222a16b9715
mb_nlmebc568_dg8466_tr348f_s42_30853021,rockfish,data/raw_compact/rockfish/mb_nlmebc568_dg8466_tr348f_s42_30853021,,3,10,3091529,05178c4fdcf622cb2cf7d38f9071434bf5adaf6e6f8c7ab7140c993503855ee8
mb_nlmebc568_dg8466_tr348f_s52_30852994,rockfish,data/raw_compact/rockfish/mb_nlmebc568_dg8466_tr348f_s52_30852994,,3,10,3091529,fd75aef470b928cf7901f2a31663c8e244a7e12a1c1ce1507b64762aeeef5a69
mb_nlpath_smoke_s42_30850304,rockfish,data/raw_compact/rockfish/mb_nlpath_smoke_s42_30850304,,0,4,22881,cb83c48df36979d5fe2c0b8137379aca2fe08fa45b26a161efa654ded142d0ca
mb_p16i2_c100g_s42,rockfish,data/raw_compact/rockfish/mb_p16i2_c100g_s42_30850193,,1,5,59583,aa440682356b3d132f92a23c5328be993375757a2cb9511b6c417da2c4bbf6d1
mb_p16i2_c100k44_s42,rockfish,data/raw_compact/rockfish/mb_p16i2_c100k44_s42_30877382,,2,6,128777,e5e6fa64c604e3281e63a5d0af187721fb7d75b40fbf7912cb1550c16d871b63
mb_p16i2_h50g_s42,rockfish,data/raw_compact/rockfish/mb_p16i2_h50g_s42_30850191,,1,5,59412,7f2610a088e49f04cd47773cbd066e16153eca1c6179b178ebbbacdaf57a4569
mb_p16i2_h50k44_s42,rockfish,data/raw_compact/rockfish/mb_p16i2_h50k44_s42_30877380,,2,6,128880,3a4fba92df248b39e84b6273789a7c246d2ffb79a9439545568eb563c108c1ba
mb_p16i2_k551_s42,rockfish,data/raw_compact/rockfish/mb_p16i2_k551_s42_30871998,,2,6,150642,57e430ee5a5423f7dc76a9f12aa3b5474492cee6135b92c17daad178fefb4920
mb_p16i2_ns50k44_s42,rockfish,data/raw_compact/rockfish/mb_p16i2_ns50k44_s42_30879759,,2,6,128878,4a81f903be50fb2b98b198004144c25f81aa30ffd8f19051b5ccb07372fc7f5f
mb_p16i2_soc50k44_s42,rockfish,data/raw_compact/rockfish/mb_p16i2_soc50k44_s42_30879766,,2,6,84079,4e8810b8d2a4a152046034b1a6932f740dfb58f5a376183c9ceab50d933cfbf7
mb_p16i2_sp50k44_s42,rockfish,data/raw_compact/rockfish/mb_p16i2_sp50k44_s42_30879762,,2,6,209667,7d5e1b3b2a52a9be233a270dec2048bd72a9eae020ec62b6ee8c47eca091537a
mb_p16i4_c100g_s42,rockfish,data/raw_compact/rockfish/mb_p16i4_c100g_s42_30850195,,1,5,56341,c469e5eeac6fec40ffd804086d573fde73fb37c6ca5e1e02494771224742a3c8
mb_p16i4_c100k44_s42,rockfish,data/raw_compact/rockfish/mb_p16i4_c100k44_s42_30877383,,2,6,129963,1d9de630746d3eaa68a6d8424ddf386fe1abfa184e364b8b06dcd3f7965ace29
mb_p16i4_h50g_s42,rockfish,data/raw_compact/rockfish/mb_p16i4_h50g_s42_30850192,,1,5,55707,1052f271cb9fabb5378d88c9e0e2726552565c9b11a6048dc6bbc4ecae3cd8a7
mb_p16i4_h50k44_s42,rockfish,data/raw_compact/rockfish/mb_p16i4_h50k44_s42_30877381,,2,6,130066,90ec02da37ee302ee7343791cd527f44ea080da9faabc0c49e6cb339f9e48065
mb_p16i4_k551_s42,rockfish,data/raw_compact/rockfish/mb_p16i4_k551_s42_30871999,,2,6,151258,4b9d0afda7a8bff66638e5ba47d690e3495c3e7be413ddca174a3a8f80552e08
mb_p16i4_ns50k44_s42,rockfish,data/raw_compact/rockfish/mb_p16i4_ns50k44_s42_30879761,,2,6,130064,de2be2f1735031259f6ca5cf65fecc36b6725b32bfa616737abf946063920948
mb_p16i4_soc50k44_s42,rockfish,data/raw_compact/rockfish/mb_p16i4_soc50k44_s42_30879768,,2,6,88820,3e29de374318d1bc90a466bb09b1edca28318a2c41d4e0ddb441c174903db5f2
mb_p16i4_sp50k44_s42,rockfish,data/raw_compact/rockfish/mb_p16i4_sp50k44_s42_30879764,,2,6,214241,a14dc6ed0bd3f108a9b341aeb2e7a3403dd1ee98af091f5b9e88594ff8b2200d
mb_pathrepair_pbc_s47_30850824,rockfish,data/raw_compact/rockfish/mb_pathrepair_pbc_s47_30850824,,0,8,82843,2773c17394a927f95d5007753f52931bd743f1facf8841c328dfb7f480343869
mb_pathrepair_pbc_s47_30850885,rockfish,data/raw_compact/rockfish/mb_pathrepair_pbc_s47_30850885,,0,8,82843,355455278b32fd403c4fd8c6ded1b3e40a7213c94303a254757edc13ba3cbd33
mb_pathrepair_pbc_s47_30850904,rockfish,data/raw_compact/rockfish/mb_pathrepair_pbc_s47_30850904,,0,8,82843,c93765dd00e6c362adf7ae34cd238c708480f5180a64576b54bc065129cb4248
mb_pathrepair_pbc_s47_30850969,rockfish,data/raw_compact/rockfish/mb_pathrepair_pbc_s47_30850969,,0,8,82843,67afffbc38a2916613920d9f548f9273b78d60765011ea64a0cb0b8675453eb2
mb_pathrepair_pbc_s47_30851067,rockfish,data/raw_compact/rockfish/mb_pathrepair_pbc_s47_30851067,,0,2,2586,89f3532f898b16990bf169d739b2c20b42d19f95a192fd79dc1658d77514f9b4
mb_pathrepair_pbc_s47_30851071,rockfish,data/raw_compact/rockfish/mb_pathrepair_pbc_s47_30851071,,0,10,86712,4e8aa3139ebe7abed2f980f87f9f526cfb364eae00e99845d753f7257ea13335
mb_pathrepair_pbc_s47_30851575,rockfish,data/raw_compact/rockfish/mb_pathrepair_pbc_s47_30851575,,0,10,86712,feaad5ac78cca0766e8e87fe035dd04e92724231457b0f937e471fd99f6369bd
mb_pathrepair_pbc_s47_30851698,rockfish,data/raw_compact/rockfish/mb_pathrepair_pbc_s47_30851698,,0,11,86919,9305cdb454acf870f70cd37df5e3fb108a66fd77306eefb5ec9d92dd90db7334
mb_pathrepair_pbc_s47_30851788,rockfish,data/raw_compact/rockfish/mb_pathrepair_pbc_s47_30851788,,0,2,2645,b3e6cde0f6b63ee356bce8cdcf477a47f300f217ec9b3f65acfd5ab74f35bfc4
mb_pathrepair_pbc_s47_30851795,rockfish,data/raw_compact/rockfish/mb_pathrepair_pbc_s47_30851795,,0,11,86919,4f378039bd184d3a078bdf80dafe008255c83b7bb1c6de7cbdf7367600767c7a
mb_pathrepair_pbc_s47_30851951,rockfish,data/raw_compact/rockfish/mb_pathrepair_pbc_s47_30851951,,0,11,86918,a13a4ab18dc7ab81b70ff82761e9e09fc6e7fab5314020e4d79c67bd5714b257
mb_pathrepair_pbc_s47_30851990,rockfish,data/raw_compact/rockfish/mb_pathrepair_pbc_s47_30851990,,0,11,86919,38f5ceac008c997b5ddf7d4d87df5eeb6f7a1009be72b986dc905ca8d04e157b
mb_x15i2s47,rockfish,data/raw_compact/rockfish/mb_prep_qegeom_ab_s47_30850839,,6,14,57740,32460fa9cd433786ef6c50127d0c93f6e35654f80ce8cd8993ed78d4a375e134
mb_qe13_mace_r1_s42_input,rockfish,data/raw_compact/rockfish/mb_qe13_mace_r1_s42_input,,0,2,21418,770edfc3ebf8cda3760a78d0c9fcb1504d7a5f0accf293cea9a58ba475bdee97
