path_id,system_id,start_site_id,end_site_id,start_geometry,end_geometry,delta_z_A,abs_delta_z_A,screening_energy_delta_eV,geometry_complexity_delta,transition_class,penetration_index,gap_index,priority_score
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_033,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_033,octahedral,cn8_te4,1.328,1.328,-0.093139,0.47,mixed_transition_candidate,0.260794,0.462133,0.477237
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_034,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_034,octahedral,cn8_te4,0.7459,0.7459,4.988923,0.47,mixed_transition_candidate,0.403001,0.377647,0.250286
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_036,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_036,octahedral,cn8_te4,2.4261,2.4261,3.990906,0.47,mixed_transition_candidate,0.400936,0.417306,0.324487
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_037,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_037,octahedral,cn8_te4,2.3045,2.3045,2.441895,0.47,mixed_transition_candidate,0.35067,0.439644,0.392654
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_038,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_038,octahedral,cn8_te4,1.312,1.312,-0.093902,0.47,mixed_transition_candidate,0.260541,0.461891,0.476822
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_039,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_039,octahedral,cn8_te4,2.2953,2.2953,2.363617,0.47,mixed_transition_candidate,0.348077,0.440729,0.396026
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_051,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_051,octahedral,cn8_te4,3.8914,3.8914,-0.154174,0.47,mixed_transition_candidate,0.306889,0.498015,0.535209
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_052,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_052,octahedral,cn8_te4,3.1408,3.1408,1.952118,0.47,mixed_transition_candidate,0.349858,0.459275,0.434946
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_053,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_053,octahedral,cn8_te4,2.8234,2.8234,3.801789,0.47,mixed_transition_candidate,0.401905,0.425955,0.34258
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_055,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_055,octahedral,cn8_te4,4.0347,4.0347,3.129456,0.47,mixed_transition_candidate,0.401882,0.453813,0.402136
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_056,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_056,octahedral,cn8_te4,4.2726,4.2726,1.530213,0.47,mixed_transition_candidate,0.356253,0.482097,0.48113
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_057,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_057,octahedral,cn8_te4,3.8967,3.8967,-0.157898,0.47,mixed_transition_candidate,0.307097,0.498034,0.535164
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_058,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_058,octahedral,cn8_te4,3.4644,3.4644,2.627198,0.47,mixed_transition_candidate,0.376431,0.453428,0.411653
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_059,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_059,octahedral,cn8_te4,3.405,3.405,4.315705,0.47,mixed_transition_candidate,0.427914,0.426321,0.333513
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_060,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_060,octahedral,cn8_te4,3.1829,3.1829,4.698853,0.47,mixed_transition_candidate,0.435999,0.417173,0.318429
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_062,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_062,octahedral,cn8_te4,1.7317,1.7317,3.773713,0.47,mixed_transition_candidate,0.382209,0.410706,0.317986
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_063,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_063,octahedral,cn8_te4,2.1263,2.1263,5.545136,0.47,mixed_transition_candidate,0.444099,0.388833,0.270959
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_064,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_064,octahedral,cn8_te4,3.8495,3.8495,-0.158996,0.47,mixed_transition_candidate,0.306317,0.497338,0.533994
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_065,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_065,octahedral,cn8_te4,4.2799,4.2799,2.039002,0.47,mixed_transition_candidate,0.3722,0.474291,0.457966
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_079,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_079,octahedral,octahedral,7.7604,7.7604,-0.485809,0.0,in_gap_or_open_channel_candidate,0.148911,0.85395,0.749197
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_101,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_101,octahedral,octahedral,7.5532,7.5532,3.150757,0.0,in_gap_or_open_channel_candidate,0.22821,0.809537,0.622049
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_102,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_102,octahedral,octahedral,7.7895,7.7895,-0.489105,0.0,in_gap_or_open_channel_candidate,0.149515,0.854316,0.749736
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_104,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_104,octahedral,octahedral,7.7853,7.7853,-0.489837,0.0,in_gap_or_open_channel_candidate,0.149466,0.854245,0.749603
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_108,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_108,octahedral,octahedral,6.0953,6.0953,5.158875,0.0,in_gap_or_open_channel_candidate,0.26552,0.757366,0.495377
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_110,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_110,octahedral,octahedral,7.6633,7.6633,0.195679,0.0,in_gap_or_open_channel_candidate,0.138215,0.857066,0.760203
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_113,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_113,octahedral,octahedral,6.9374,6.9374,2.572083,0.0,in_gap_or_open_channel_candidate,0.199598,0.809686,0.633992
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_114,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_114,octahedral,octahedral,7.117,7.117,1.435852,0.0,in_gap_or_open_channel_candidate,0.167361,0.829933,0.690367
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_115,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_115,octahedral,octahedral,7.7923,7.7923,-0.488555,0.0,in_gap_or_open_channel_candidate,0.149546,0.854365,0.749827
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_116,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_116,octahedral,octahedral,7.0536,7.0536,2.091919,0.0,in_gap_or_open_channel_candidate,0.18667,0.818822,0.658771
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_117,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_117,octahedral,octahedral,6.7842,6.7842,3.992341,0.0,in_gap_or_open_channel_candidate,0.241122,0.785402,0.565216
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_119,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_119,octahedral,octahedral,7.8035,7.8035,-0.489044,0.0,in_gap_or_open_channel_candidate,0.149755,0.854519,0.750071
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_121,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_121,octahedral,octahedral,7.7803,7.7803,-0.480896,0.0,in_gap_or_open_channel_candidate,0.149101,0.854312,0.749894
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_124,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_124,octahedral,octahedral,7.7955,7.7955,-0.487121,0.0,in_gap_or_open_channel_candidate,0.149557,0.854434,0.749969
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::victor::unique_125,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::victor::unique_125,octahedral,octahedral,7.0859,7.0859,2.011139,0.0,in_gap_or_open_channel_candidate,0.184715,0.820542,0.663242
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_040,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_040,octahedral,cn7_te3,3.6355,3.6355,4.247223,0.35,mixed_transition_candidate,0.369759,0.508698,0.376502
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_041,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_041,octahedral,cn7_te3,3.4756,3.4756,2.393952,0.35,mixed_transition_candidate,0.309371,0.535216,0.457717
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_042,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_042,octahedral,cn7_te3,3.8752,3.8752,-0.153961,0.35,mixed_transition_candidate,0.246603,0.575786,0.569935
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_043,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_043,octahedral,cn7_te3,3.2014,3.2014,0.595643,0.35,mixed_transition_candidate,0.248721,0.559237,0.533701
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_044,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_044,octahedral,cn7_te3,2.1409,2.1409,1.713746,0.35,mixed_transition_candidate,0.265205,0.526615,0.457274
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_046,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_046,octahedral,cn7_te3,4.1452,4.1452,2.823609,0.35,mixed_transition_candidate,0.334277,0.538156,0.453884
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_047,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_047,octahedral,cn7_te3,3.3206,3.3206,4.71933,0.35,mixed_transition_candidate,0.37901,0.496833,0.347382
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_048,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_048,octahedral,cn7_te3,4.4194,4.4194,4.107911,0.35,mixed_transition_candidate,0.378942,0.522127,0.401476
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_066,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_066,octahedral,cn10_te4,4.0974,4.0974,0.568482,0.65,mixed_transition_candidate,0.413325,0.377533,0.484545
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_067,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_067,octahedral,cn10_te4,5.1064,5.1064,1.752198,0.65,mixed_transition_candidate,0.467532,0.373626,0.480323
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_068,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_068,octahedral,cn10_te4,3.8957,3.8957,-0.15512,0.65,mixed_transition_candidate,0.396993,0.381062,0.489786
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_069,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_069,octahedral,cn10_te4,4.0546,4.0546,1.470612,0.65,mixed_transition_candidate,0.440641,0.362892,0.461033
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_070,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_070,octahedral,cn6_te3,4.0675,4.0675,1.392426,0.2,in_gap_or_open_channel_candidate,0.213432,0.656793,0.561563
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_071,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_071,octahedral,cn7_te4,4.2145,4.2145,0.712311,0.35,mixed_transition_candidate,0.269817,0.57198,0.552368
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_072,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_072,octahedral,cn7_te4,5.1038,5.1038,-0.011016,0.35,mixed_transition_candidate,0.263342,0.595661,0.605618
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_073,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_073,octahedral,cn7_te4,4.4695,4.4695,0.868409,0.35,mixed_transition_candidate,0.279067,0.573216,0.551254
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_074,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_074,octahedral,cn7_te4,3.8344,3.8344,-0.152526,0.35,mixed_transition_candidate,0.245855,0.575222,0.569033
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_077,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_077,octahedral,cn7_te4,5.1268,5.1268,-0.028595,0.35,mixed_transition_candidate,0.264285,0.595718,0.605357
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_078,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_078,octahedral,cn7_te4,6.703,6.703,0.01471,0.35,mixed_transition_candidate,0.29103,0.618582,0.643362
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_080,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_080,octahedral,cn7_te4,5.157,5.157,1.745423,0.35,mixed_transition_candidate,0.318194,0.569458,0.527326
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_082,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_082,octahedral,cn7_te4,4.6983,4.6983,2.165558,0.35,mixed_transition_candidate,0.32335,0.556335,0.49718
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_083,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_083,octahedral,cn7_te4,5.1984,5.1984,2.148896,0.35,mixed_transition_candidate,0.331454,0.56378,0.509801
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_084,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_084,octahedral,cn7_te4,4.9857,4.9857,1.62381,0.35,mixed_transition_candidate,0.311458,0.568888,0.528843
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_085,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_085,octahedral,cn7_te4,6.6783,6.6783,0.002076,0.35,mixed_transition_candidate,0.290211,0.618423,0.643356
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_087,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_087,octahedral,cn7_te4,5.1803,5.1803,1.797211,0.35,mixed_transition_candidate,0.320206,0.568988,0.525503
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_088,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_088,octahedral,cn7_te4,6.6984,6.6984,-0.001495,0.35,mixed_transition_candidate,0.290539,0.618721,0.643859
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_090,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_090,octahedral,cn7_te4,6.6656,6.6656,0.005707,0.35,mixed_transition_candidate,0.290105,0.618184,0.642888
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_092,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_092,octahedral,cn7_te4,4.8635,4.8635,2.157624,0.35,mixed_transition_candidate,0.325951,0.558832,0.501461
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_093,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_093,octahedral,cn7_te4,5.1391,5.1391,-0.028656,0.35,mixed_transition_candidate,0.264499,0.595894,0.605646
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_094,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_094,octahedral,cn7_te4,4.7637,4.7637,2.822174,0.35,mixed_transition_candidate,0.344896,0.547065,0.468613
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_095,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_095,octahedral,cn7_te4,6.5887,6.5887,0.03006,0.35,mixed_transition_candidate,0.289536,0.616701,0.639948
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_096,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_096,octahedral,cn6_te3,7.4509,7.4509,2.426209,0.2,in_gap_or_open_channel_candidate,0.303915,0.689332,0.594357
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_097,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_097,octahedral,cn6_te3,4.1143,4.1143,1.466919,0.2,in_gap_or_open_channel_candidate,0.216555,0.656307,0.559255
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_098,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_098,octahedral,cn6_te3,6.648,6.648,0.002961,0.2,in_gap_or_open_channel_candidate,0.214716,0.715474,0.686472
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_100,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_100,octahedral,cn6_te3,4.8819,4.8819,4.153687,0.2,in_gap_or_open_channel_candidate,0.31334,0.625561,0.454216
sb2te3_4x2x1::victor::unique_004__to__sb2te3_4x2x1::joshitha::unique_126,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_004,sb2te3_4x2x1::joshitha::unique_126,octahedral,cn6_te3,7.6285,7.6285,1.268616,0.2,in_gap_or_open_channel_candidate,0.27098,0.709883,0.651664
sb2te3_4x2x1::victor::unique_005__to__sb2te3_4x2x1::victor::unique_020,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_005,sb2te3_4x2x1::victor::unique_020,octahedral,cn8_te4,1.0116,1.0116,0.62619,0.47,mixed_transition_candidate,0.271915,0.449299,0.445285
sb2te3_4x2x1::victor::unique_005__to__sb2te3_4x2x1::victor::unique_021,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_005,sb2te3_4x2x1::victor::unique_021,octahedral,cn8_te4,0.8791,0.8791,1.558197,0.47,mixed_transition_candidate,0.298613,0.432903,0.399395
sb2te3_4x2x1::victor::unique_005__to__sb2te3_4x2x1::victor::unique_025,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_005,sb2te3_4x2x1::victor::unique_025,octahedral,cn8_te4,1.0395,1.0395,-0.095337,0.47,mixed_transition_candidate,0.255888,0.457953,0.470296
sb2te3_4x2x1::victor::unique_005__to__sb2te3_4x2x1::victor::unique_036,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_005,sb2te3_4x2x1::victor::unique_036,octahedral,cn8_te4,1.3922,1.3922,2.547485,0.47,mixed_transition_candidate,0.338223,0.424894,0.366182
sb2te3_4x2x1::victor::unique_005__to__sb2te3_4x2x1::victor::unique_037,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_005,sb2te3_4x2x1::victor::unique_037,octahedral,cn8_te4,1.2706,1.2706,0.998474,0.47,mixed_transition_candidate,0.287957,0.447231,0.43435
sb2te3_4x2x1::victor::unique_005__to__sb2te3_4x2x1::victor::unique_039,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_005,sb2te3_4x2x1::victor::unique_039,octahedral,cn8_te4,1.2614,1.2614,0.920196,0.47,mixed_transition_candidate,0.285364,0.448316,0.437722
sb2te3_4x2x1::victor::unique_005__to__sb2te3_4x2x1::victor::unique_051,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_005,sb2te3_4x2x1::victor::unique_051,octahedral,cn8_te4,2.8575,2.8575,-1.597595,0.47,mixed_transition_candidate,0.333949,0.460717,0.444491
sb2te3_4x2x1::victor::unique_005__to__sb2te3_4x2x1::victor::unique_052,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_005,sb2te3_4x2x1::victor::unique_052,octahedral,cn8_te4,2.1069,2.1069,0.508697,0.47,mixed_transition_candidate,0.287146,0.466863,0.476642
sb2te3_4x2x1::victor::unique_005__to__sb2te3_4x2x1::victor::unique_053,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_005,sb2te3_4x2x1::victor::unique_053,octahedral,cn8_te4,1.7895,1.7895,2.358368,0.47,mixed_transition_candidate,0.339193,0.433543,0.384276
