unique_id,geometry,cr_z,mace_energy_eV,qe_input_path
unique_082,cn7_te4,20.6324,-298.090668,results/interstitial_search/qe_inputs/unique_082/relax.in
unique_083,cn7_te4,21.1325,-298.10733,results/interstitial_search/qe_inputs/unique_083/relax.in
unique_084,cn7_te4,20.9198,-298.632416,results/interstitial_search/qe_inputs/unique_084/relax.in
unique_085,cn7_te4,22.6124,-300.25415,results/interstitial_search/qe_inputs/unique_085/relax.in
unique_087,cn7_te4,21.1144,-298.459015,results/interstitial_search/qe_inputs/unique_087/relax.in
unique_088,cn7_te4,22.6325,-300.257721,results/interstitial_search/qe_inputs/unique_088/relax.in
unique_090,cn7_te4,22.5997,-300.250519,results/interstitial_search/qe_inputs/unique_090/relax.in
unique_092,cn7_te4,20.7976,-298.098602,results/interstitial_search/qe_inputs/unique_092/relax.in
unique_093,cn7_te4,21.0732,-300.284882,results/interstitial_search/qe_inputs/unique_093/relax.in
unique_094,cn7_te4,20.6978,-297.434052,results/interstitial_search/qe_inputs/unique_094/relax.in
unique_095,cn7_te4,22.5228,-300.226166,results/interstitial_search/qe_inputs/unique_095/relax.in
unique_096,cn6_te3,23.385,-297.830017,results/interstitial_search/qe_inputs/unique_096/relax.in
unique_097,cn6_te3,20.0484,-298.789307,results/interstitial_search/qe_inputs/unique_097/relax.in
unique_098,cn6_te3,22.5821,-300.253265,results/interstitial_search/qe_inputs/unique_098/relax.in
unique_099,cn6_te3,24.0316,-297.24292,results/interstitial_search/qe_inputs/unique_099/relax.in
unique_100,cn6_te3,20.816,-296.102539,results/interstitial_search/qe_inputs/unique_100/relax.in
unique_126,cn6_te3,23.5626,-298.98761,results/interstitial_search/qe_inputs/unique_126/relax.in
unique_127,cn6_te3,24.7261,-300.170868,results/interstitial_search/qe_inputs/unique_127/relax.in
unique_128,cn6_te3,26.3632,-297.97879,results/interstitial_search/qe_inputs/unique_128/relax.in
unique_129,cn6_te3,24.8323,-300.254822,results/interstitial_search/qe_inputs/unique_129/relax.in
unique_131,cn7_te4,26.4654,-299.340881,results/interstitial_search/qe_inputs/unique_131/relax.in
unique_133,cn7_te4,24.8781,-299.550873,results/interstitial_search/qe_inputs/unique_133/relax.in
unique_134,cn7_te4,24.8025,-298.391663,results/interstitial_search/qe_inputs/unique_134/relax.in
unique_135,cn7_te4,26.3701,-300.288086,results/interstitial_search/qe_inputs/unique_135/relax.in
unique_136,cn7_te4,26.4872,-297.945282,results/interstitial_search/qe_inputs/unique_136/relax.in
unique_137,cn7_te4,26.3668,-296.879822,results/interstitial_search/qe_inputs/unique_137/relax.in
unique_139,cn7_te4,26.8127,-298.090668,results/interstitial_search/qe_inputs/unique_139/relax.in
unique_140,cn7_te4,26.3127,-298.10733,results/interstitial_search/qe_inputs/unique_140/relax.in
unique_141,cn7_te4,26.5254,-298.632355,results/interstitial_search/qe_inputs/unique_141/relax.in
unique_142,cn7_te4,26.6713,-297.205017,results/interstitial_search/qe_inputs/unique_142/relax.in
unique_143,cn7_te4,27.3546,-299.5513,results/interstitial_search/qe_inputs/unique_143/relax.in
unique_144,cn7_te4,24.9804,-299.479004,results/interstitial_search/qe_inputs/unique_144/relax.in
unique_145,cn7_te4,26.3756,-300.296722,results/interstitial_search/qe_inputs/unique_145/relax.in
unique_146,cn7_te4,24.7938,-300.254761,results/interstitial_search/qe_inputs/unique_146/relax.in
unique_147,cn7_te4,27.1934,-295.757721,results/interstitial_search/qe_inputs/unique_147/relax.in
unique_149,cn7_te4,26.4928,-299.524292,results/interstitial_search/qe_inputs/unique_149/relax.in
unique_150,cn7_te4,24.8287,-298.383972,results/interstitial_search/qe_inputs/unique_150/relax.in
unique_151,cn7_te4,24.7815,-296.437653,results/interstitial_search/qe_inputs/unique_151/relax.in
unique_152,cn7_te4,24.8107,-297.039886,results/interstitial_search/qe_inputs/unique_152/relax.in
unique_153,cn7_te4,25.1067,-297.455597,results/interstitial_search/qe_inputs/unique_153/relax.in
unique_154,cn7_te4,26.3756,-300.294861,results/interstitial_search/qe_inputs/unique_154/relax.in
unique_155,cn7_te4,27.4437,-298.609924,results/interstitial_search/qe_inputs/unique_155/relax.in
unique_156,cn7_te4,27.1268,-297.256683,results/interstitial_search/qe_inputs/unique_156/relax.in
unique_157,cn7_te4,27.1811,-295.905792,results/interstitial_search/qe_inputs/unique_157/relax.in
unique_164,cn7_te4,27.1735,-296.151794,results/interstitial_search/qe_inputs/unique_164/relax.in
unique_165,cn7_te4,27.8224,-296.882751,results/interstitial_search/qe_inputs/unique_165/relax.in
unique_166,cn7_te3,27.6309,-300.413086,results/interstitial_search/qe_inputs/unique_166/relax.in
unique_167,cn7_te4,27.3759,-299.083801,results/interstitial_search/qe_inputs/unique_167/relax.in
unique_168,cn7_te4,27.1573,-297.21933,results/interstitial_search/qe_inputs/unique_168/relax.in
unique_169,cn7_te4,27.6185,-300.375854,results/interstitial_search/qe_inputs/unique_169/relax.in
unique_173,cn9_te4,27.6104,-300.413849,results/interstitial_search/qe_inputs/unique_173/relax.in
unique_174,cn9_te4,27.5527,-299.131744,results/interstitial_search/qe_inputs/unique_174/relax.in
unique_175,cn9_te4,27.7177,-298.753998,results/interstitial_search/qe_inputs/unique_175/relax.in
unique_183,cn7_te3,26.9221,-297.596649,results/interstitial_search/qe_inputs/unique_183/relax.in
unique_184,cn7_te3,27.4387,-299.759003,results/interstitial_search/qe_inputs/unique_184/relax.in
unique_185,cn7_te3,27.9041,-297.369171,results/interstitial_search/qe_inputs/unique_185/relax.in
unique_186,cn7_te3,27.6578,-294.314575,results/interstitial_search/qe_inputs/unique_186/relax.in
unique_193,cn9_te4,30.2069,-300.348877,results/interstitial_search/qe_inputs/unique_193/relax.in
unique_194,cn7_te3,30.5032,-298.749451,results/interstitial_search/qe_inputs/unique_194/relax.in
unique_195,cn7_te3,30.5613,-295.994171,results/interstitial_search/qe_inputs/unique_195/relax.in
unique_196,cn7_te3,30.4572,-295.449097,results/interstitial_search/qe_inputs/unique_196/relax.in
unique_197,cn7_te3,30.193,-300.350189,results/interstitial_search/qe_inputs/unique_197/relax.in
unique_198,cn7_te3,29.7897,-296.986176,results/interstitial_search/qe_inputs/unique_198/relax.in
unique_213,cn7_te3,31.3529,-297.749908,results/interstitial_search/qe_inputs/unique_213/relax.in
unique_214,cn7_te3,30.6926,-297.830444,results/interstitial_search/qe_inputs/unique_214/relax.in
unique_215,cn7_te3,31.4834,-300.252899,results/interstitial_search/qe_inputs/unique_215/relax.in
unique_216,cn7_te3,30.6399,-299.57959,results/interstitial_search/qe_inputs/unique_216/relax.in
unique_218,cn7_te4,31.6047,-297.873688,results/interstitial_search/qe_inputs/unique_218/relax.in
unique_219,cn7_te4,32.2312,-297.186523,results/interstitial_search/qe_inputs/unique_219/relax.in
unique_221,cn7_te4,31.5745,-297.982574,results/interstitial_search/qe_inputs/unique_221/relax.in
unique_223,cn7_te4,31.858,-298.487335,results/interstitial_search/qe_inputs/unique_223/relax.in
unique_224,cn7_te4,31.4493,-297.984802,results/interstitial_search/qe_inputs/unique_224/relax.in
unique_225,cn7_te4,31.5122,-297.765076,results/interstitial_search/qe_inputs/unique_225/relax.in
unique_226,cn7_te4,31.4639,-297.246094,results/interstitial_search/qe_inputs/unique_226/relax.in
unique_227,cn7_te4,31.5223,-300.25589,results/interstitial_search/qe_inputs/unique_227/relax.in
unique_229,cn7_te4,31.7708,-299.301971,results/interstitial_search/qe_inputs/unique_229/relax.in
unique_230,cn7_te4,30.6644,-299.643219,results/interstitial_search/qe_inputs/unique_230/relax.in
unique_231,cn7_te4,31.6821,-296.855377,results/interstitial_search/qe_inputs/unique_231/relax.in
unique_232,cn7_te4,32.9637,-296.427429,results/interstitial_search/qe_inputs/unique_232/relax.in
unique_233,cn7_te4,31.5077,-300.25824,results/interstitial_search/qe_inputs/unique_233/relax.in
unique_234,cn7_te4,32.1101,-296.399292,results/interstitial_search/qe_inputs/unique_234/relax.in
unique_235,cn7_te4,32.43,-295.211914,results/interstitial_search/qe_inputs/unique_235/relax.in
unique_236,cn7_te4,31.08,-295.954529,results/interstitial_search/qe_inputs/unique_236/relax.in
unique_237,cn7_te4,30.4148,-297.192657,results/interstitial_search/qe_inputs/unique_237/relax.in
unique_238,cn7_te4,31.4702,-300.240417,results/interstitial_search/qe_inputs/unique_238/relax.in
unique_239,cn7_te4,32.695,-298.916748,results/interstitial_search/qe_inputs/unique_239/relax.in
unique_240,cn7_te4,30.8873,-298.051605,results/interstitial_search/qe_inputs/unique_240/relax.in
unique_241,cn7_te4,32.2341,-295.288574,results/interstitial_search/qe_inputs/unique_241/relax.in
