unique_id,geometry,cr_z,mace_energy_eV,qe_input_path
unique_064,cn8_te4,19.7836,-300.415222,results/interstitial_search/qe_inputs/unique_064/relax.in
unique_065,cn8_te4,20.214,-298.217224,results/interstitial_search/qe_inputs/unique_065/relax.in
unique_079,octahedral,23.6945,-300.742035,results/interstitial_search/qe_inputs/unique_079/relax.in
unique_101,octahedral,23.4873,-297.105469,results/interstitial_search/qe_inputs/unique_101/relax.in
unique_102,octahedral,23.7236,-300.745331,results/interstitial_search/qe_inputs/unique_102/relax.in
unique_104,octahedral,23.7194,-300.746063,results/interstitial_search/qe_inputs/unique_104/relax.in
unique_105,octahedral,24.3818,-298.817993,results/interstitial_search/qe_inputs/unique_105/relax.in
unique_106,octahedral,24.6091,-298.007172,results/interstitial_search/qe_inputs/unique_106/relax.in
unique_107,octahedral,24.9627,-299.553772,results/interstitial_search/qe_inputs/unique_107/relax.in
unique_108,octahedral,22.0294,-295.097351,results/interstitial_search/qe_inputs/unique_108/relax.in
unique_109,octahedral,24.0724,-298.350128,results/interstitial_search/qe_inputs/unique_109/relax.in
unique_110,octahedral,23.5974,-300.060547,results/interstitial_search/qe_inputs/unique_110/relax.in
unique_111,octahedral,24.4443,-296.243652,results/interstitial_search/qe_inputs/unique_111/relax.in
unique_113,octahedral,22.8715,-297.684143,results/interstitial_search/qe_inputs/unique_113/relax.in
unique_114,octahedral,23.0511,-298.820374,results/interstitial_search/qe_inputs/unique_114/relax.in
unique_115,octahedral,23.7264,-300.744781,results/interstitial_search/qe_inputs/unique_115/relax.in
unique_116,octahedral,22.9877,-298.164307,results/interstitial_search/qe_inputs/unique_116/relax.in
unique_117,octahedral,22.7183,-296.263885,results/interstitial_search/qe_inputs/unique_117/relax.in
unique_119,octahedral,23.7376,-300.74527,results/interstitial_search/qe_inputs/unique_119/relax.in
unique_121,octahedral,23.7144,-300.737122,results/interstitial_search/qe_inputs/unique_121/relax.in
unique_122,octahedral,25.1892,-297.718079,results/interstitial_search/qe_inputs/unique_122/relax.in
unique_124,octahedral,23.7296,-300.743347,results/interstitial_search/qe_inputs/unique_124/relax.in
unique_125,octahedral,23.02,-298.245087,results/interstitial_search/qe_inputs/unique_125/relax.in
unique_158,cn8_te4,27.3884,-299.553986,results/interstitial_search/qe_inputs/unique_158/relax.in
unique_159,cn8_te4,27.3084,-299.37146,results/interstitial_search/qe_inputs/unique_159/relax.in
unique_160,cn8_te4,26.3579,-300.29422,results/interstitial_search/qe_inputs/unique_160/relax.in
unique_161,cn8_te4,27.2067,-299.31015,results/interstitial_search/qe_inputs/unique_161/relax.in
unique_162,cn8_te4,26.633,-299.019165,results/interstitial_search/qe_inputs/unique_162/relax.in
unique_171,cn8_te4,27.6495,-300.410675,results/interstitial_search/qe_inputs/unique_171/relax.in
unique_180,cn8_te4,27.097,-298.591431,results/interstitial_search/qe_inputs/unique_180/relax.in
unique_181,cn8_te4,27.5612,-296.395447,results/interstitial_search/qe_inputs/unique_181/relax.in
unique_182,cn8_te4,27.6351,-300.416534,results/interstitial_search/qe_inputs/unique_182/relax.in
unique_188,cn8_te4,30.6264,-299.660522,results/interstitial_search/qe_inputs/unique_188/relax.in
unique_189,cn8_te4,30.1829,-300.350159,results/interstitial_search/qe_inputs/unique_189/relax.in
unique_190,cn8_te4,30.465,-298.526794,results/interstitial_search/qe_inputs/unique_190/relax.in
unique_191,cn8_te4,29.9869,-299.45578,results/interstitial_search/qe_inputs/unique_191/relax.in
unique_200,cn8_te4,30.1975,-300.348358,results/interstitial_search/qe_inputs/unique_200/relax.in
unique_201,cn8_te4,30.2305,-298.115631,results/interstitial_search/qe_inputs/unique_201/relax.in
unique_202,cn8_te4,30.7653,-295.267426,results/interstitial_search/qe_inputs/unique_202/relax.in
unique_204,cn8_te4,30.1967,-300.352905,results/interstitial_search/qe_inputs/unique_204/relax.in
unique_207,cn8_te4,29.5104,-298.229492,results/interstitial_search/qe_inputs/unique_207/relax.in
unique_209,cn8_te4,30.362,-299.128784,results/interstitial_search/qe_inputs/unique_209/relax.in
unique_210,cn8_te4,29.4656,-298.186554,results/interstitial_search/qe_inputs/unique_210/relax.in
unique_211,cn8_te4,29.5985,-297.254669,results/interstitial_search/qe_inputs/unique_211/relax.in
unique_212,cn8_te4,30.1102,-296.66803,results/interstitial_search/qe_inputs/unique_212/relax.in
