step,image,energy_eV,rel_to_image0_eV
14,5,-179675.33632593593,-10.074927115289029
15,0,-179665.26139882064,0.0
15,1,-179677.20485152994,-11.943452709296253
15,2,-179677.10986859814,-11.848469777498394
15,3,-179677.1410582055,-11.87965938486741
15,4,-179675.6553010634,-10.393902242765762
15,5,-179673.89160157176,-8.630202751111938
16,0,-179665.26139882064,0.0
16,1,-179677.1990031476,-11.937604326958535
16,2,-179677.02360012743,-11.762201306788484
16,3,-179677.12302376432,-11.861624943674542
16,4,-179675.1258697219,-9.864470901258755
16,5,-179673.7380415854,-8.476642764755525
17,0,-179665.26139882064,0.0
17,1,-179677.19918680438,-11.937787983741146
17,2,-179677.02530093046,-11.763902109814808
17,3,-179677.13511476037,-11.873715939727845
17,4,-179675.6108301634,-10.349431342765456
17,5,-179674.32765388937,-9.066255068726605
18,0,-179665.26139882064,0.0
18,1,-179677.21274298773,-11.951344167086063
18,2,-179677.07999843033,-11.818599609687226
18,3,-179677.1647970297,-11.903398209047737
18,4,-179675.4248384571,-10.163439636467956
18,5,-179674.14218305674,-8.880784236098407
19,0,-179665.26139882064,0.0
19,1,-179677.20054144578,-11.93914262513863
19,2,-179676.92287664567,-11.661477825022303
19,3,-179677.14180170977,-11.880402889131801
19,4,-179675.3704024276,-10.109003606950864
19,5,-179674.33024572345,-9.068846902810037
20,0,-179665.26139882064,0.0
20,1,-179677.21769851347,-11.956299692828907
20,2,-179677.0090856004,-11.74768677976681
20,3,-179677.1322251626,-11.870826341968495
20,4,-179674.8064509593,-9.545052138651954
20,5,-179673.90472502704,-8.643326206394704
21,0,-179665.26139882064,0.0
21,1,-179677.21291340157,-11.951514580927324
21,2,-179677.04283062066,-11.781431800016435
21,3,-179677.16938497647,-11.90798615582753
21,4,-179675.36622845416,-10.104829633521149
21,5,-179674.26080263354,-8.999403812893433
22,0,-179665.26139882064,0.0
22,1,-179677.219234632,-11.95783581136493
22,2,-179676.98350388074,-11.722105060092872
22,3,-179677.16385709698,-11.902458276337711
22,4,-179675.3360225189,-10.074623698252253
22,5,-179674.16836908617,-8.90697026552516
23,0,-179665.26139882064,0.0
23,1,-179677.21903965482,-11.957640834181802
23,2,-179676.96700168384,-11.705602863192325
23,3,-179677.163321678,-11.90192285735975
23,4,-179675.0451598842,-9.783761063561542
23,5,-179673.80934768647,-8.547948865831131
24,0,-179665.26139882064,0.0
24,1,-179677.2179829798,-11.956584159168415
24,2,-179676.86818625985,-11.60678743920289
24,3,-179677.15519790832,-11.89379908767296
24,4,-179674.65719901386,-9.395800193218747
24,5,-179673.40508206957,-8.143683248927118
25,0,-179665.26139882064,0.0
25,1,-179677.22010017207,-11.95870135142468
25,2,-179676.701694633,-11.440295812353725
25,3,-179677.117562027,-11.856163206364727
25,4,-179673.60054523847,-8.339146417827578
25,5,-179671.04485313274,-5.783454312098911
26,0,-179665.26139882064,0.0
26,1,-179677.21211230123,-11.950713480589911
26,2,-179676.29472140505,-11.03332258440787
26,3,-179677.0015708012,-11.740171980549349
26,4,-179672.98921543095,-7.727816610306036
26,5,-179668.07139487698,-2.8099960563413333
27,0,-179665.26139882064,0.0
27,1,-179677.21611170226,-11.954712881619344
27,2,-179676.35974933862,-11.098350517975632
27,3,-179677.10234096838,-11.840942147740861
27,4,-179673.44166484344,-8.180266022798605
27,5,-179670.22281575418,-4.961416933540022
28,0,-179665.26139882064,0.0
28,1,-179677.21823162338,-11.956832802738063
28,2,-179676.40112150452,-11.139722683874425
28,3,-179677.11839248624,-11.856993665598566
28,4,-179673.8977514976,-8.636352676956449
28,5,-179671.33362487788,-6.0722260572365485
29,0,-179665.26139882064,0.0
29,1,-179677.21811742766,-11.956718607019866
29,2,-179676.34258203022,-11.08118320957874
29,3,-179677.0923527023,-11.830953881668393
29,4,-179674.50149461688,-9.240095796238165
29,5,-179671.97566389403,-6.714265073387651
30,0,-179665.26139882064,0.0
30,1,-179677.21651964358,-11.955120822938625
30,2,-179676.14802125673,-10.886622436082689
30,3,-179677.0593644411,-11.797965620469768
30,4,-179674.28360838076,-9.022209560120245
30,5,-179671.26778338215,-6.00638456150773
31,0,-179665.26139882064,0.0
31,1,-179677.20795483407,-11.946556013426743
31,2,-179675.90168472196,-10.640285901317839
31,3,-179676.98549588557,-11.724097064929083
31,4,-179673.88020160783,-8.618802787183085
31,5,-179669.04423122542,-3.7828324047732167
32,0,-179665.26139882064,0.0
32,1,-179677.205149556,-11.943750735343201
32,2,-179676.0629886568,-10.801589836162748
32,3,-179677.06125017928,-11.799851358635351
32,4,-179674.90675757843,-9.645358757785289
32,5,-179671.223685831,-5.96228701036307
33,0,-179665.26139882064,0.0
33,1,-179677.2134027058,-11.95200388514786
33,2,-179676.02268561433,-10.761286793684121
33,3,-179677.04541681567,-11.78401799502899
33,4,-179675.02716915944,-9.765770338795846
33,5,-179671.75177106794,-6.490372247295454
34,0,-179665.26139882064,0.0
34,1,-179677.2160221275,-11.954623306868598
34,2,-179676.05054131514,-10.789142494497355
34,3,-179677.03375105187,-11.772352231229888
34,4,-179675.30151321396,-10.040114393312251
34,5,-179672.3577613381,-7.096362517448142
35,0,-179665.26139882064,0.0
35,1,-179677.2144611403,-11.953062319662422
35,2,-179676.0423210537,-10.78092223306885
35,3,-179677.01620730283,-11.754808482190128
35,4,-179675.520953558,-10.259554737363942
35,5,-179672.7186036077,-7.457204787060618
36,0,-179665.26139882064,0.0
36,1,-179677.21121575483,-11.949816934182309
36,2,-179676.04745318127,-10.786054360622074
36,3,-179677.01290854515,-11.751509724505013
36,4,-179662.59408701328,2.6673118073667865
36,5,-179656.7713266082,8.49007221244392
37,0,-179665.26139882064,0.0
37,1,-179677.18286723553,-11.921468414890114
37,2,-179676.11156793617,-10.850169115525205
37,3,-179676.86786171343,-11.606462892785203
37,4,-179670.59047310232,-5.329074281675275
37,5,-179670.71553608516,-5.454137264518067
38,0,-179665.26139882064,0.0
38,1,-179677.1263833826,-11.864984561951132
38,2,-179676.05405378767,-10.792654967022827
38,3,-179676.74581299335,-11.484414172708057
38,4,-179670.82086382122,-5.559465000580531
38,5,-179670.2429955455,-4.981596724857809
39,0,-179665.26139882064,0.0
39,1,-179677.18418008497,-11.922781264322111
39,2,-179675.27087281106,-10.009473990416154
39,3,-179676.80474164142,-11.54334282077616
39,4,-179665.77207564207,-0.5106768214318436
39,5,-179666.73964336366,-1.4782445430173539
40,0,-179665.26139882064,0.0
40,1,-179677.1283723996,-11.866973578959005
40,2,-179673.1744817727,-7.913082952058176
40,3,-179676.56491562066,-11.303516800020589
40,4,-179668.008082573,-2.7466837523679715
40,5,-179665.45322160603,-0.1918227853893768
41,0,-179665.26139882064,0.0
41,1,-179677.17587331528,-11.914474494638853
41,2,-179676.04125925346,-10.779860432812711
41,3,-179676.91414931012,-11.652750489476603
41,4,-179671.5982066505,-6.33680782985175
41,5,-179670.10660658876,-4.845207768114051
42,0,-179665.26139882064,0.0
42,1,-179677.18130543912,-11.919906618481036
42,2,-179675.8960504965,-10.634651675849454
42,3,-179677.0194657984,-11.758066977752605
42,4,-179673.18387860444,-7.922479783796007
42,5,-179671.20383409684,-5.942435276199831
43,0,-179665.26139882064,0.0
43,1,-179677.18343822806,-11.922039407421835
43,2,-179676.36895060068,-11.107551780034555
43,3,-179676.99627212936,-11.73487330871285
43,4,-179673.47401210756,-8.212613286916167
43,5,-179671.4005920441,-6.139193223469192
44,0,-179665.26139882064,0.0
44,1,-179677.1984128093,-11.937013988645049
44,2,-179676.57749672706,-11.316097906412324
44,3,-179676.78464905848,-11.523250237834873
44,4,-179672.8329477428,-7.571548922162037
44,5,-179671.42270664216,-6.161307821515948
45,0,-179665.26139882064,0.0
45,1,-179677.19444211616,-11.933043295517564
45,2,-179676.7030080836,-11.441609262954444
45,3,-179676.81859937374,-11.557200553099392
45,4,-179673.28285984765,-8.021461027004989
45,5,-179672.72006417415,-7.458665353507968
46,0,-179665.26139882064,0.0
46,1,-179677.20236840926,-11.94096958861337
46,2,-179676.85788593756,-11.596487116912613
46,3,-179677.03758227977,-11.776183459121967
46,4,-179673.7828228231,-8.521424002450658
46,5,-179673.20592066724,-7.944521846598946
47,0,-179665.26139882064,0.0
47,1,-179677.20160133822,-11.940202517580474
47,2,-179676.80439679188,-11.542997971235309
47,3,-179676.86582519644,-11.604426375793992
47,4,-179672.75019837066,-7.488799550017575
47,5,-179671.851212836,-6.589814015344018
48,0,-179665.26139882064,0.0
48,1,-179677.13753577863,-11.87613695798791
48,2,-179676.1762946141,-10.91489579345216
48,3,-179676.53209039237,-11.270691571728094
48,4,-179672.88934059662,-7.627941775979707
48,5,-179670.53658483466,-5.275186014012434
49,0,-179665.26139882064,0.0
49,1,-179677.15787267638,-11.896473855740624
49,2,-179676.83271761745,-11.571318796806736
49,3,-179676.90612653864,-11.644727717997739
49,4,-179672.6978112545,-7.4364124338608235
49,5,-179672.42241461802,-7.161015797377331
50,0,-179665.26139882064,0.0
50,1,-179677.15087207546,-11.889473254821496
50,2,-179676.62659608212,-11.36519726147526
50,3,-179676.33249234426,-11.071093523612944
50,4,-179671.0016305768,-5.740231756150024
50,5,-179669.44219505854,-4.180796237895265
51,0,-179665.26139882064,0.0
51,1,-179677.13743325425,-11.876034433604218
51,2,-179676.5846719908,-11.323273170157336
51,3,-179676.601114255,-11.33971543435473
51,4,-179672.69176952075,-7.4303707001090515
51,5,-179672.54206417358,-7.280665352940559
52,0,-179665.26139882064,0.0
52,1,-179677.17135026498,-11.909951444336912
52,2,-179676.9023724017,-11.64097358105937
52,3,-179676.86216499345,-11.600766172807198
52,4,-179672.98001063085,-7.718611810210859
52,5,-179673.07666903822,-7.815270217572106
53,0,-179665.26139882064,0.0
53,1,-179677.18619995925,-11.924801138608018
53,2,-179676.7900070288,-11.52860820814385
53,3,-179676.81067264185,-11.549273821205134
53,4,-179672.51030429447,-7.248905473825289
53,5,-179673.11331414653,-7.851915325882146
54,0,-179665.26139882064,0.0
54,1,-179677.14607637533,-11.884677554684458
54,2,-179676.40972848498,-11.148329664341873
54,3,-179676.7726960329,-11.511297212244244
54,4,-179668.97937194924,-3.717973128601443
54,5,-179671.75071311163,-6.489314290985931
55,0,-179665.26139882064,0.0
55,1,-179677.15172185397,-11.890323033323511
55,2,-179675.9661088266,-10.704710005957168
55,3,-179676.51395807843,-11.252559257787652
55,4,-179666.26629021994,-1.004891399294138
55,5,-179667.34867022772,-2.0872714070719667
56,0,-179665.26139882064,0.0
56,1,-179677.1479757955,-11.886576974851778
56,2,-179676.3595613528,-11.09816253214376
56,3,-179676.43429692308,-11.172898102435283
56,4,-179664.86932399054,0.39207483010250144
56,5,-179664.3881140495,0.873284771136241
57,0,-179665.26139882064,0.0
57,1,-179677.16253933366,-11.90114051301498
57,2,-179676.0707684244,-10.809369603754021
57,3,-179673.45628809376,-8.194889273116132
57,4,-179666.36744278198,-1.106043961335672
57,5,-179666.0800967189,-0.8186978982703295
58,0,-179665.26139882064,0.0
58,1,-179677.11972511202,-11.858326291374397
58,2,-179675.03585995125,-9.774461130611598
58,3,-179675.62824878926,-10.366849968617316
58,4,-179665.17856278826,0.08283603237941861
58,5,-179662.94286163253,2.3185371881118044
59,0,-179665.26139882064,0.0
59,1,-179677.01969792318,-11.75829910254106
59,2,-179674.16251979512,-8.901120974478545
59,3,-179676.4144139487,-11.153015128045809
59,4,-179663.47925338682,1.782145433826372
59,5,-179663.3357673795,1.9256314411468338
60,0,-179665.26139882064,0.0
60,1,-179677.1486605038,-11.887261683150427
60,2,-179675.09711975828,-9.835720937640872
60,3,-179676.14772190579,-10.886323085142067
60,4,-179666.8353491132,-1.5739502925425768
60,5,-179668.08724282822,-2.8258440075733233
61,0,-179665.26139882064,0.0
61,1,-179677.04832721237,-11.78692839172436
61,2,-179675.65669130813,-10.395292487490224
61,3,-179675.4109404244,-10.14954160375055
61,4,-179665.53200458913,-0.2706057684845291
61,5,-179666.75221353452,-1.4908147138776258
62,0,-179665.26139882064,0.0
62,1,-179676.80704446055,-11.545645639911527
62,2,-179675.53259284858,-10.27119402794051
62,3,-179674.87301989112,-9.611621070478577
62,4,-179665.28270060086,-0.021301780216163024
62,5,-179663.5818138736,1.6795849470363464
63,0,-179665.26139882064,0.0
63,1,-179676.93774873228,-11.676349911635043
63,2,-179675.69231192878,-10.430913108139066
63,3,-179675.66743135848,-10.406032537837746
63,4,-179670.00846962968,-4.747070809040451
63,5,-179661.67803421483,3.583364605816314
64,0,-179665.26139882064,0.0
64,1,-179677.06316334903,-11.8017645283835
64,2,-179675.68033853435,-10.418939713708824
64,3,-179676.08545486914,-10.824056048499187
64,4,-179670.0101977693,-4.748798948654439
64,5,-179661.15848308723,4.102915733412374
65,0,-179665.26139882064,0.0
65,1,-179677.1232092823,-11.86181046164711
65,2,-179675.69449969282,-10.43310087217833
65,3,-179676.4605017697,-11.199102949060034
65,4,-179669.979697328,-4.718298507359577
65,5,-179660.3176194742,4.943779346445808
66,0,-179665.26139882064,0.0
66,1,-179676.9805915282,-11.719192707561888
66,2,-179675.28203959094,-10.02064077029354
66,3,-179675.55201966863,-10.290620847983519
66,4,-179669.59742841695,-4.336029596306616
66,5,-179659.03368425745,6.227714563196059
67,0,-179665.26139882064,0.0
67,1,-179676.67430050383,-11.412901683186647
67,2,-179674.5793911735,-9.317992352851434
67,3,-179675.47917407381,-10.217775253171567
67,4,-179668.82228452852,-3.560885707876878
67,5,-179658.63042338882,6.630975431820843
68,0,-179665.26139882064,0.0
68,1,-179676.13162958596,-10.870230765314773
68,2,-179673.51878007408,-8.257381253439235
68,3,-179674.90564273455,-9.644243913906394
68,4,-179667.00631474864,-1.7449159279931337
68,5,-179633.98534653927,31.276052281376906
69,0,-179665.26139882064,0.0
69,1,-179675.15724185485,-9.895843034202699
69,2,-179672.1907911026,-6.929392281948822
69,3,-179672.4288586185,-7.167459797870833
69,4,-179663.7675046915,1.4938941291475203
69,5,-179595.66760638412,69.59379243652802
70,0,-179665.26139882064,0.0
70,1,-179674.03848045084,-8.777081630192697
70,2,-179670.48475409686,-5.223355276219081
70,3,-179663.66223671677,1.599162103870185
70,4,-179657.1011200297,8.160278790950542
70,5,-179608.81929121938,56.44210760126589
71,0,-179665.26139882064,0.0
71,1,-179673.19029393248,-7.928895111836027
71,2,-179669.25751921438,-3.996120393741876
71,3,-179653.04574746685,12.215651353792055
71,4,-179649.6644792656,15.596919555042405
71,5,-179622.23103283258,43.0303659880592
72,0,-179665.26139882064,0.0
72,1,-179673.08485542465,-7.823456604004605
72,2,-179668.98350276408,-3.722103943437105
72,3,-179662.3632131564,2.8981856642349157
72,4,-179649.78710423745,15.474294583196752
72,5,-179635.38821711927,29.87318170137587
73,0,-179665.26139882064,0.0
73,1,-179673.62194664148,-8.360547820833744
73,2,-179669.6317600435,-4.370361222856445
73,3,-179664.79470486063,0.46669396001379937
73,4,-179653.34500596055,11.916392860090127
73,5,-179638.11645512644,27.144943694205722
74,0,-179665.26139882064,0.0
74,1,-179673.4782456649,-8.21684684426873
74,2,-179669.58532639433,-4.323927573685069
74,3,-179664.94244171245,0.31895710818935186
74,4,-179641.24454790715,24.016850913496455
74,5,-179621.34437636184,43.91702245880151
75,0,-179665.26139882064,0.0
75,1,-179673.95456677472,-8.693167954072123
75,2,-179670.8567523868,-5.595353566168342
75,3,-179664.20215064764,1.0592481729981955
75,4,-179630.18446060384,35.07693821680732
75,5,-179643.0671169595,22.194281861156924
76,0,-179665.26139882064,0.0
76,1,-179674.29167063898,-9.030271818337496
76,2,-179671.44061875073,-6.179219930083491
76,3,-179662.0566721679,3.2047266527370084
76,4,-179633.430429899,31.830968921654858
76,5,-179643.25645728302,22.00494153762702
77,0,-179665.26139882064,0.0
77,1,-179674.25229974528,-8.990900924633024
77,2,-179671.39232431306,-6.1309254924126435
77,3,-179656.7879532086,8.473445612034993
77,4,-179637.927573897,27.33382492364035
77,5,-179615.99972961997,49.26166920067044
78,0,-179665.26139882064,0.0
78,1,-179674.18367373783,-8.922274917189498
78,2,-179671.57776238228,-6.3163635616365355
78,3,-179644.89760519317,20.36379362747539
78,4,-179636.13452708174,29.12687173890299
78,5,-179627.55106476336,37.7103340572794
79,0,-179665.26139882064,0.0
79,1,-179674.43525231027,-9.173853489628527
79,2,-179671.59444231342,-6.333043492777506
79,3,-179663.09371657402,2.1676822466251906
79,4,-179626.51479724562,38.746601575025124
79,5,-179614.9245718961,50.33682692455477
80,0,-179665.26139882064,0.0
80,1,-179674.55785374015,-9.296454919502139
80,2,-179671.79015479897,-6.528755978331901
80,3,-179662.85721998173,2.4041788389149588
80,4,-179643.0746917479,22.186707072745776
80,5,-179581.01088899618,84.25050982445828
81,0,-179665.26139882064,0.0
81,1,-179675.01622588365,-9.754827063006815
81,2,-179672.62455009102,-7.363151270372327
81,3,-179655.19927738447,10.062121436174493
81,4,-179625.19741762703,40.06398119361256
81,5,-179521.83343943808,143.42795938256313
82,0,-179665.26139882064,0.0
82,1,-179675.42955775894,-10.168158938293345
82,2,-179672.98658847375,-7.725189653108828
82,3,-179661.65071240356,3.6106864170869812
82,4,-179611.46737758513,53.79402123551699
82,5,-179562.53209416795,102.72930465269019
83,0,-179665.26139882064,0.0
83,1,-179675.54257851007,-10.28117968942388
83,2,-179673.11223059465,-7.850831774005201
83,3,-179659.29155025026,5.969848570384784
83,4,-179627.88401285972,37.37738596092095
83,5,-179581.5221064479,83.7392923727457
84,0,-179665.26139882064,0.0
84,1,-179675.7032930567,-10.441894236049848
84,2,-179673.17083537756,-7.909436556918081
84,3,-179654.1363140211,11.125084799539763
84,4,-179624.39700670057,40.86439212007099
84,5,-179595.60177584377,69.65962297687656
85,0,-179665.26139882064,0.0
85,1,-179675.86931279214,-10.607913971500238
85,2,-179673.20892486427,-7.947526043630205
85,3,-179654.58665991187,10.674738908768632
85,4,-179611.43948073834,53.82191808230709
85,5,-179622.62135733248,42.64004148816457
86,0,-179665.26139882064,0.0
86,1,-179676.12368411073,-10.862285290088039
86,2,-179673.2331142136,-7.971715392952319
86,3,-179655.0373078887,10.224090931937099
86,4,-179624.7659813436,40.495417477039155
86,5,-179610.86498031495,54.39641850569751
87,0,-179665.26139882064,0.0
87,1,-179676.24342575332,-10.982026932673762
87,2,-179673.07475908863,-7.813360267988173
87,3,-179654.96095824713,10.300440573511878
87,4,-179606.2910990167,58.97029980394291
87,5,-179611.28088893995,53.980509880697355
88,0,-179665.26139882064,0.0
88,1,-179676.2686970185,-11.0072981978592
88,2,-179672.85650893158,-7.595110110938549
88,3,-179656.88921128848,8.37218753216439
88,4,-179623.9838097228,41.27758909785189
88,5,-179591.24716858784,74.01423023280222
89,0,-179665.26139882064,0.0
89,1,-179676.24474492838,-10.983346107735997
89,2,-179672.43365760273,-7.1722587820841
89,3,-179651.5497564634,13.71164235722972
89,4,-179624.41024828295,40.8511505376955
89,5,-179562.51297968125,102.74841913938872
90,0,-179665.26139882064,0.0
90,1,-179676.22632802365,-10.964929203008069
90,2,-179672.5302716105,-7.268872789863963
90,3,-179655.82973619353,9.431662627117475
90,4,-179600.24999131082,65.0114075098245
90,5,-179551.66778680135,113.59361201929278
91,0,-179665.26139882064,0.0
91,1,-179676.18006186077,-10.918663040123647
91,2,-179672.51390717988,-7.252508359233616
91,3,-179655.9137509935,9.347647827147739
91,4,-179586.22117139836,79.04022742228699
91,5,-179543.86907884385,121.39231997678871
92,0,-179665.26139882064,0.0
92,1,-179676.12666334587,-10.865264525229577
92,2,-179672.0024441536,-6.741045332950307
92,3,-179654.01832614854,11.243072672106791
92,4,-179596.84774749886,68.4136513217818
92,5,-179533.53166438462,131.72973443602677
93,0,-179665.26139882064,0.0
93,1,-179675.90642264026,-10.645023819612106
93,2,-179670.97522655962,-5.713827738974942
93,3,-179657.6369822039,7.624416616745293
93,4,-179627.82317490556,37.43822391508729
93,5,-179543.19506367666,122.06633514398709
94,0,-179665.26139882064,0.0
94,1,-179675.75839060495,-10.496991784311831
94,2,-179670.3470480773,-5.085649256652687
94,3,-179651.54670124358,13.714697577059269
94,4,-179618.33329099024,46.92810783040477
94,5,-179563.97958600064,101.2818128200015
95,0,-179665.26139882064,0.0
95,1,-179675.67516750423,-10.413768683589296
95,2,-179669.90619431692,-4.644795496278675
95,3,-179658.6558909838,6.605507836851757
95,4,-179581.55296766394,83.70843115670141
95,5,-179431.7231575168,233.538241303846
96,0,-179665.26139882064,0.0
96,1,-179675.37358035744,-10.112181536795106
96,2,-179668.99632958008,-3.7349307594413403
96,3,-179659.082010872,6.179387948650401
96,4,-179553.56935708664,111.69204173400067
96,5,-179479.32502590053,185.93637292011408
97,0,-179665.26139882064,0.0
97,1,-179675.0157605841,-9.754361763451016
97,2,-179668.1031527173,-2.841753896645969
97,3,-179656.84127177848,8.420127042161766
97,4,-179584.41219413606,80.84920468457858
97,5,-179392.86170188413,272.39969693651074
98,0,-179665.26139882064,0.0
98,1,-179674.48131652572,-9.219917705078842
98,2,-179666.1076286784,-0.8462298577651381
98,3,-179654.6031834969,10.65821532375412
98,4,-179561.70524437437,103.55615444626892
98,5,-179446.50463157502,218.75676724562072
99,0,-179665.26139882064,0.0
99,1,-179674.19218831704,-8.930789496400394
99,2,-179665.23740447694,0.023994343704544008
99,3,-179654.67418824483,10.587210575817153
99,4,-179574.70417907054,90.55721975010238
99,5,-179418.38548030812,246.87591851252364
100,0,-179665.26139882064,0.0
100,1,-179674.1521538836,-8.89075506295194
100,2,-179664.99161219073,0.26978662991314195
100,3,-179654.12632195506,11.13507686558296
100,4,-179572.69212852127,92.56927029936924
100,5,-179343.8556193603,321.40577946032863
101,0,-179665.26139882064,0.0
101,1,-179674.32406616356,-9.062667342921486
101,2,-179665.2266383826,0.034760438051307574
101,3,-179651.14932345407,14.112075366574572
101,4,-179591.6548174965,73.60658132412937
101,5,-179344.02040461646,321.240994204185
102,0,-179665.26139882064,0.0
102,1,-179674.31720947754,-9.0558106568933
102,2,-179664.75557174662,0.5058270740264561
102,3,-179634.98048523776,30.28091358288657
102,4,-179589.38560152738,75.87579729326535
102,5,-179314.02392748234,351.2374713383033
103,0,-179665.26139882064,0.0
103,1,-179674.28631346545,-9.024914644804085
103,2,-179663.1109861327,2.150412687944481
103,3,-179635.16165662647,30.099742194171995
103,4,-179505.98231415224,159.27908466840745
103,5,-179269.09758291882,396.16381590181845
104,0,-179665.26139882064,0.0
104,1,-179673.9534383674,-8.692039546760498
104,2,-179660.20748908375,5.053909736889182
104,3,-179651.77893568831,13.482463132328121
104,4,-179586.90072979053,78.36066903010942
104,5,-179266.3520829672,398.9093158534379
105,0,-179665.26139882064,0.0
105,1,-179673.77721893348,-8.515820112836082
105,2,-179659.90419930243,5.357199518213747
105,3,-179651.22359985468,14.037798965960974
105,4,-179578.9840303657,86.277368454932
105,5,-179436.98234605283,228.2790527678153
106,0,-179665.26139882064,0.0
106,1,-179673.76071921224,-8.499320391594665
106,2,-179660.60119170896,4.660207111679483
106,3,-179651.48085207905,13.780546741589205
106,4,-179577.31321154663,87.94818727401434
106,5,-179362.48201893774,302.77937988290796
107,0,-179665.26139882064,0.0
107,1,-179673.90008189398,-8.638683073339052
107,2,-179661.4490920428,3.8123067778360564
107,3,-179650.91457487887,14.346823941770708
107,4,-179564.29518529726,100.96621352338116
107,5,-179398.0899066555,267.17149216512917
108,0,-179665.26139882064,0.0
108,1,-179673.9237346019,-8.662335781264119
108,2,-179662.17860498794,3.0827938326983713
108,3,-179647.17797118117,18.083427639474394
108,4,-179496.3309836945,168.93041512614582
108,5,-179325.65468042766,339.6067183929845
109,0,-179665.26139882064,0.0
109,1,-179674.0053336311,-8.743934810452629
109,2,-179662.9660439317,2.2953548889490776
109,3,-179646.89464123445,18.366757586190943
109,4,-179585.24787432438,80.01352449625847
109,5,-179282.81606505078,382.4453337698651
110,0,-179665.26139882064,0.0
110,1,-179674.08885156858,-8.827452747937059
110,2,-179663.50604315114,1.7553556695056614
110,3,-179648.719749604,16.541649216640508
110,4,-179585.13414463922,80.12725418142509
