model,rank,feature,mean_abs_shap_eV,feature_index
FT - 600K,38,Cr-Sb_n44_l1,0.004605880136793659,81
FT - 600K,39,Cr-Te_n34_l2,0.004403906884524732,173
FT - 600K,40,Cr-Te_n11_l0,0.004276215747296289,130
FT - 600K,41,Sb-Sb_n24_l4,0.004160837438118142,256
FT - 600K,42,Cr-Te_n12_l3,0.00415959914427642,179
FT - 600K,43,Cr-Sb_n44_l0,0.004052133918068375,65
FT - 600K,44,Sb-Te_n34_l2,0.0039456503240248245,303
FT - 600K,45,Cr-Cr_n44_l3,0.003909883401266635,39
FT - 600K,46,Cr-Cr_n13_l1,0.0037866783600569616,12
FT - 600K,47,Sb-Te_n32_l4,0.0036171654631617757,333
FT - 600K,48,Cr-Sb_n43_l0,0.003608214816210545,64
FT - 600K,49,Te-Te_n13_l2,0.0032914928504594906,362
FT - 600K,50,Sb-Te_n21_l4,0.0031469107420323255,328
FT - Multi-T,1,Cr-Sb_n43_l0,0.07609535106044622,64
FT - Multi-T,2,Sb-Te_n44_l1,0.013265457260460493,291
FT - Multi-T,3,Te-Te_n33_l4,0.013195882837973384,387
FT - Multi-T,4,Cr-Sb_n43_l1,0.012863903709543939,80
FT - Multi-T,5,Te-Te_n23_l4,0.008269913392515666,385
FT - Multi-T,6,Sb-Te_n43_l2,0.007852479891252956,306
FT - Multi-T,7,Te-Te_n44_l1,0.006676321541032239,359
FT - Multi-T,8,Te-Te_n12_l4,0.0064441399569496694,381
FT - Multi-T,9,Te-Te_n22_l0,0.0054607308874222585,344
FT - Multi-T,10,Cr-Cr_n12_l4,0.005287599781185739,41
FT - Multi-T,11,Te-Te_n11_l4,0.005011038893941711,380
FT - Multi-T,12,Sb-Sb_n44_l1,0.004973691803966137,229
FT - Multi-T,13,Cr-Sb_n33_l3,0.004224763224086759,108
FT - Multi-T,14,Cr-Sb_n23_l1,0.002844902174290023,72
FT - Multi-T,15,Cr-Cr_n23_l4,0.002763739509621371,45
FT - Multi-T,16,Cr-Te_n24_l3,0.002661507065666441,185
FT - Multi-T,17,Cr-Sb_n33_l0,0.002608980670980268,60
FT - Multi-T,18,Sb-Sb_n44_l2,0.002596871129568484,239
FT - Multi-T,19,Cr-Cr_n33_l4,0.0021792525102668817,47
FT - Multi-T,20,Cr-Cr_n11_l4,0.002155483895380874,40
FT - Multi-T,21,Cr-Cr_n22_l3,0.0020625476243058866,34
FT - Multi-T,22,Cr-Cr_n22_l1,0.002024518331453041,14
FT - Multi-T,23,Cr-Te_n34_l3,0.0020009891911938037,189
FT - Multi-T,24,Cr-Sb_n13_l0,0.0018063743379451661,52
FT - Multi-T,25,Te-Te_n13_l4,0.0017353321990775377,382
FT - Multi-T,26,Cr-Te_n11_l0,0.0016580512171453982,130
FT - Multi-T,27,Cr-Sb_n12_l3,0.0015587089857171672,99
FT - Multi-T,28,Sb-Sb_n34_l0,0.0015559766112304603,218
FT - Multi-T,29,Cr-Te_n34_l2,0.0015421861578329822,173
FT - Multi-T,30,Sb-Te_n44_l2,0.0015041331062724543,307
FT - Multi-T,31,Cr-Cr_n11_l2,0.001420048559585657,20
FT - Multi-T,32,Cr-Te_n41_l4,0.00138000639600109,206
FT - Multi-T,33,Sb-Te_n41_l0,0.0013513853735471358,272
FT - Multi-T,34,Sb-Te_n42_l3,0.0013253641841456877,321
FT - Multi-T,35,Cr-Te_n44_l1,0.001232966670631788,161
FT - Multi-T,36,Cr-Sb_n34_l3,0.0011992397968301554,109
FT - Multi-T,37,Cr-Cr_n12_l1,0.0011314158774899214,11
FT - Multi-T,38,Sb-Sb_n11_l0,0.0010958499020746876,210
FT - Multi-T,39,Cr-Te_n44_l2,0.0009917317817312546,177
FT - Multi-T,40,Cr-Cr_n13_l0,0.0009814041670536291,2
FT - Multi-T,41,Cr-Cr_n22_l0,0.0009541918304343934,4
FT - Multi-T,42,Te-Te_n33_l0,0.0009448526295451267,347
FT - Multi-T,43,Sb-Te_n41_l3,0.0009209825221027653,320
FT - Multi-T,44,Cr-Cr_n11_l1,0.0009087814964185107,10
FT - Multi-T,45,Te-Te_n44_l0,0.0009001742757765218,349
FT - Multi-T,46,Cr-Cr_n12_l2,0.000858530094181774,21
FT - Multi-T,47,Te-Te_n13_l3,0.0008582310471818822,372
FT - Multi-T,48,Cr-Cr_n44_l1,0.0008315050754359836,19
FT - Multi-T,49,Cr-Cr_n22_l4,0.000830668833115181,44
FT - Multi-T,50,Cr-Te_n33_l1,0.0008081817411587269,156
Scratch,1,Cr-Te_n33_l2,0.04641175358079856,172
Scratch,2,Cr-Te_n31_l2,0.04229522152364849,170
Scratch,3,Cr-Cr_n24_l2,0.04056108358798472,26
Scratch,4,Cr-Te_n32_l2,0.04039286820473093,171
Scratch,5,Cr-Cr_n14_l2,0.023148382947754762,23
Scratch,6,Cr-Cr_n34_l2,0.018693308913190033,28
Scratch,7,Cr-Cr_n44_l0,0.018412948130314754,9
Scratch,8,Cr-Te_n13_l2,0.01638981715479349,164
Scratch,9,Cr-Te_n21_l2,0.01392821070864387,166
Scratch,10,Cr-Te_n22_l2,0.01391129394593924,167
Scratch,11,Te-Te_n13_l2,0.011217714003740652,362
Scratch,12,Te-Te_n34_l0,0.009410833658795772,348
Scratch,13,Cr-Te_n11_l2,0.008979053859889667,162
Scratch,14,Cr-Cr_n11_l1,0.00843698672462927,10
Scratch,15,Te-Te_n44_l2,0.005978260156468063,369
Scratch,16,Cr-Te_n23_l2,0.005728599678049619,168
Scratch,17,Cr-Sb_n43_l1,0.005145581746378162,80
Scratch,18,Cr-Sb_n44_l0,0.004580655884856282,65
Scratch,19,Te-Te_n11_l0,0.0040592173940857765,340
Scratch,20,Cr-Te_n33_l1,0.003963646553268288,156
Scratch,21,Cr-Cr_n34_l0,0.0036069512054011004,8
Scratch,22,Sb-Te_n23_l1,0.002995566088625124,282
Scratch,23,Cr-Te_n34_l3,0.002940644613455933,189
Scratch,24,Te-Te_n33_l0,0.0024977972157619386,347
Scratch,25,Sb-Te_n41_l0,0.002422818666447439,272
Scratch,26,Cr-Sb_n24_l1,0.0023461428209650102,73
Scratch,27,Cr-Te_n41_l3,0.0021080388012221086,190
Scratch,28,Cr-Cr_n14_l0,0.002079631628214359,3
Scratch,29,Sb-Sb_n13_l0,0.0020363522246187433,212
Scratch,30,Cr-Sb_n31_l3,0.002018576989527089,106
Scratch,31,Cr-Te_n43_l3,0.0019830720424357153,192
Scratch,32,Cr-Te_n31_l0,0.001925568833826159,138
Scratch,33,Sb-Sb_n34_l1,0.0018559082432372032,228
Scratch,34,Sb-Te_n34_l1,0.0018449284407808702,287
Scratch,35,Sb-Te_n24_l0,0.0017713790749166625,267
Scratch,36,Cr-Sb_n42_l1,0.0017476228498452646,79
Scratch,37,Cr-Cr_n12_l1,0.0017306318710140248,11
Scratch,38,Sb-Te_n33_l0,0.0016964026139808523,270
Scratch,39,Sb-Sb_n33_l0,0.001683565357712773,217
Scratch,40,Cr-Cr_n13_l0,0.001662491649757672,2
Scratch,41,Sb-Sb_n34_l0,0.001480137007524537,218
Scratch,42,Sb-Te_n42_l0,0.001464633385364287,273
Scratch,43,Cr-Sb_n14_l0,0.001442762278427699,53
Scratch,44,Sb-Sb_n34_l4,0.0014373261561538577,258
Scratch,45,Sb-Te_n14_l0,0.0013963002264427672,263
Scratch,46,Te-Te_n12_l0,0.0013573598011998107,341
Scratch,47,Cr-Sb_n33_l0,0.0013357971626399951,60
Scratch,48,Te-Te_n11_l1,0.0013146612546258117,350
Scratch,49,Te-Te_n23_l2,0.0011853903016696315,365
Scratch,50,Cr-Cr_n22_l0,0.001176709858341587,4
