model,rank,published_label,corrected_true_label,mean_abs_shap_eV,feature_index
FT - Multi-T,30,Sb-Te_n21_l3,Te-Te_n14_l0,0.0017432684299867,343
FT - Multi-T,31,Cr-Sb_n43_l1,Cr-Te_n22_l1,0.0017212176007144,151
FT - Multi-T,32,Cr-Sb_n42_l1,Cr-Te_n11_l1,0.0017057251855135,146
FT - Multi-T,33,Sb-Te_n12_l0,Sb-Te_n12_l4,0.0017024774422848,325
FT - Multi-T,34,Cr-Te_n32_l3,Cr-Te_n43_l4,0.0016575506748699,208
FT - Multi-T,35,Sb-Te_n12_l3,Sb-Te_n21_l4,0.0015392616313835,328
FT - Multi-T,36,Sb-Sb_n12_l1,Sb-Sb_n24_l3,0.0014816175262121,246
FT - Multi-T,37,Cr-Sb_n42_l4,Cr-Te_n14_l1,0.0014749881925892,149
FT - Multi-T,38,Cr-Sb_n42_l2,Cr-Te_n12_l1,0.001469111818425,147
FT - Multi-T,39,Sb-Te_n33_l1,Te-Te_n12_l3,0.0014618705138866,371
FT - Multi-T,40,Sb-Te_n23_l0,Te-Te_n11_l1,0.0014348412863009,350
FT - Multi-T,41,Sb-Sb_n12_l0,Sb-Sb_n23_l3,0.0014222817350226,245
FT - Multi-T,42,Sb-Te_n23_l1,Te-Te_n12_l1,0.001399732017761,351
FT - Multi-T,43,Cr-Te_n31_l4,Cr-Te_n33_l4,0.0013357974362283,204
FT - Multi-T,44,Cr-Cr_n42_l4,Cr-Sb_n14_l1,0.0013210134912756,69
FT - Multi-T,45,Sb-Sb_n24_l2,Sb-Te_n12_l1,0.0013179034508324,277
FT - Multi-T,46,Sb-Te_n21_l0,Te-Te_n11_l0,0.0012330702133965,340
FT - Multi-T,47,Cr-Te_n32_l1,Cr-Te_n41_l4,0.0012320319184123,206
FT - Multi-T,48,Sb-Sb_n14_l3,Sb-Sb_n34_l4,0.0012305176658793,258
FT - Multi-T,49,Cr-Cr_n31_l2,Cr-Cr_n13_l4,0.001227981553045,42
FT - Multi-T,50,Cr-Te_n14_l2,Cr-Te_n44_l2,0.0012277003206776,177
Scratch,1,Cr-Sb_n42_l2,Cr-Te_n12_l1,0.0149883011503965,147
Scratch,2,Sb-Sb_n11_l3,Sb-Sb_n14_l3,0.0148783343063463,243
Scratch,3,Cr-Sb_n44_l0,Cr-Te_n32_l1,0.014279872902913,155
Scratch,4,Sb-Te_n22_l4,Te-Te_n44_l0,0.0134460482148217,349
Scratch,5,Cr-Sb_n43_l4,Cr-Te_n31_l1,0.0126905554866981,154
Scratch,6,Cr-Sb_n13_l2,Cr-Sb_n33_l2,0.0106857607700596,92
Scratch,7,Cr-Sb_n13_l1,Cr-Sb_n32_l2,0.0103406091051138,91
Scratch,8,Cr-Cr_n23_l4,Cr-Cr_n22_l3,0.0098457384143101,34
Scratch,9,Cr-Sb_n12_l2,Cr-Sb_n22_l2,0.0097716697600741,87
Scratch,10,Sb-Sb_n42_l3,Sb-Te_n11_l3,0.0094046938219341,308
Scratch,11,Cr-Sb_n12_l3,Cr-Sb_n23_l2,0.0092270784663236,88
Scratch,12,Cr-Sb_n11_l4,Cr-Sb_n13_l2,0.008851882102981,84
Scratch,13,Cr-Cr_n13_l1,Cr-Cr_n12_l1,0.0088082425327342,11
Scratch,14,Cr-Sb_n11_l2,Cr-Sb_n11_l2,0.0085594222704461,82
Scratch,15,Cr-Te_n14_l2,Cr-Te_n44_l2,0.0084115118439743,177
Scratch,16,Cr-Sb_n43_l1,Cr-Te_n22_l1,0.0075132425155994,151
Scratch,17,Cr-Sb_n13_l0,Cr-Sb_n31_l2,0.0063607778735629,90
Scratch,18,Cr-Cr_n21_l1,Cr-Cr_n12_l2,0.0062425218949872,21
Scratch,19,Cr-Sb_n11_l3,Cr-Sb_n12_l2,0.0061208206450026,83
Scratch,20,Sb-Sb_n43_l4,Sb-Te_n23_l3,0.0060580595882779,314
Scratch,21,Sb-Te_n22_l1,Te-Te_n24_l0,0.0059126414804198,346
Scratch,22,Cr-Te_n14_l0,Cr-Te_n42_l2,0.005823223065419,175
Scratch,23,Cr-Cr_n44_l3,Cr-Sb_n41_l1,0.0055445410340555,78
Scratch,24,Cr-Cr_n24_l0,Cr-Cr_n23_l3,0.0054035194554239,35
Scratch,25,Sb-Sb_n43_l3,Sb-Te_n22_l3,0.0054019195560621,313
Scratch,26,Sb-Sb_n44_l0,Sb-Te_n24_l3,0.0053426332500889,315
Scratch,27,Cr-Te_n11_l0,Cr-Te_n43_l1,0.0053168552604156,160
Scratch,28,Cr-Te_n41_l1,Sb-Sb_n12_l1,0.0052450469102896,221
Scratch,29,Sb-Sb_n13_l1,Sb-Sb_n12_l4,0.0050708586559024,251
Scratch,30,Cr-Cr_n23_l0,Cr-Cr_n11_l3,0.0043463241222751,30
Scratch,31,Cr-Te_n13_l3,Cr-Te_n34_l2,0.0042303661846884,173
Scratch,32,Cr-Sb_n44_l4,Cr-Te_n42_l1,0.0042245418254112,159
Scratch,33,Cr-Sb_n44_l3,Cr-Te_n41_l1,0.0041726626491313,158
Scratch,34,Cr-Cr_n34_l0,Cr-Sb_n22_l0,0.0039945428801046,55
Scratch,35,Sb-Te_n11_l2,Sb-Te_n43_l3,0.0039643864812675,322
Scratch,36,Sb-Te_n12_l1,Sb-Te_n13_l4,0.0037733502782743,326
Scratch,37,Cr-Sb_n42_l1,Cr-Te_n11_l1,0.0037021684124008,146
Scratch,38,Cr-Te_n21_l0,Cr-Te_n13_l3,0.0036270425518116,180
Scratch,39,Sb-Te_n21_l3,Te-Te_n14_l0,0.0030905116831415,343
Scratch,40,Cr-Cr_n34_l1,Cr-Sb_n23_l0,0.0028431468217475,56
Scratch,41,Cr-Sb_n14_l3,Cr-Sb_n11_l3,0.0026936893743712,98
Scratch,42,Cr-Te_n33_l3,Sb-Sb_n14_l0,0.0024387654634589,213
Scratch,43,Cr-Cr_n31_l3,Cr-Cr_n14_l4,0.0023111904451021,43
Scratch,44,Sb-Sb_n12_l2,Sb-Sb_n33_l3,0.0021228219971135,247
Scratch,45,Cr-Cr_n32_l3,Cr-Cr_n34_l4,0.0019189993892632,48
Scratch,46,Cr-Cr_n33_l4,Cr-Sb_n21_l0,0.0019076186255665,54
Scratch,47,Cr-Cr_n43_l3,Cr-Sb_n24_l1,0.0018548237327939,73
Scratch,48,Cr-Te_n23_l2,Cr-Te_n43_l3,0.0018104274730107,192
Scratch,49,Cr-Te_n44_l0,Sb-Sb_n23_l2,0.0018103721880846,235
Scratch,50,Cr-Cr_n34_l3,Cr-Sb_n31_l0,0.0017293845589982,58
