evaluation_pathway,evaluation_frame_index,path_iteration,image_index,reference_split,soap_reference_frame_index,soap_reference_cr_index,soap_cosine_distance,rmsd_reference_frame_index,rmsd_reference_cr_index,cr_local_species_rmsd_A,exact_global_fingerprint_match,exact_reference_frame_indices,exact_local_fingerprint_match,exact_local_reference_centers
1-6,45,10,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,46,10,2,train,156,80,0.0015471203970169878,698,80,2.612407433398131,False,[],False,[]
1-6,47,10,3,train,546,80,0.005073211011884404,,,,False,[],False,[]
1-6,48,10,4,train,980,80,0.004952191583074916,,,,False,[],False,[]
1-6,49,10,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,50,11,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,51,11,2,train,156,80,0.0014998212966679247,698,80,2.6131655007400405,False,[],False,[]
1-6,52,11,3,train,546,80,0.0051886968784199405,,,,False,[],False,[]
1-6,53,11,4,train,980,80,0.004982692889132778,,,,False,[],False,[]
1-6,54,11,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,55,12,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,56,12,2,train,156,80,0.0014284122976051528,698,80,2.6147248287741247,False,[],False,[]
1-6,57,12,3,train,1612,80,0.0053686477436767355,,,,False,[],False,[]
1-6,58,12,4,train,980,80,0.005045934160283316,,,,False,[],False,[]
1-6,59,12,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,60,13,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,61,13,2,train,156,80,0.0014144965187012914,698,80,2.6151472019857884,False,[],False,[]
1-6,62,13,3,train,1612,80,0.005382337418324834,,,,False,[],False,[]
1-6,63,13,4,train,980,80,0.005064819808099141,,,,False,[],False,[]
1-6,64,13,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,65,14,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,66,14,2,train,156,80,0.0014112060350318645,698,80,2.6153124540010393,False,[],False,[]
1-6,67,14,3,train,1612,80,0.005388873661615667,,,,False,[],False,[]
1-6,68,14,4,train,980,80,0.005074611415397667,,,,False,[],False,[]
1-6,69,14,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,70,15,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,71,15,2,train,156,80,0.0014118189566856287,698,80,2.6153997779060054,False,[],False,[]
1-6,72,15,3,train,1612,80,0.005393980404326593,,,,False,[],False,[]
1-6,73,15,4,train,980,80,0.005082892379401516,,,,False,[],False,[]
1-6,74,15,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,75,16,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,76,16,2,train,156,80,0.0014153144039275034,698,80,2.615411710078555,False,[],False,[]
1-6,77,16,3,train,1612,80,0.005397196892503953,,,,False,[],False,[]
1-6,78,16,4,train,980,80,0.005088653713430591,,,,False,[],False,[]
1-6,79,16,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,80,17,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,81,17,2,train,156,80,0.0014345714390622266,698,80,2.6154232392372037,False,[],False,[]
1-6,82,17,3,train,1612,80,0.005411512320769862,,,,False,[],False,[]
1-6,83,17,4,train,980,80,0.005116066282307541,,,,False,[],False,[]
1-6,84,17,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,85,18,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,86,18,2,train,156,80,0.0014855748542486058,698,80,2.6154212676040465,False,[],False,[]
1-6,87,18,3,train,1612,80,0.005444254125642978,,,,False,[],False,[]
1-6,88,18,4,train,980,80,0.005188447812064956,,,,False,[],False,[]
1-6,89,18,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,90,19,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,91,19,2,train,156,80,0.001560889420816003,698,80,2.6154116856100362,False,[],False,[]
1-6,92,19,3,train,1612,80,0.005485090617825539,,,,False,[],False,[]
1-6,93,19,4,train,980,80,0.005296239586560447,,,,False,[],False,[]
1-6,94,19,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,95,20,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,96,20,2,train,156,80,0.0016781200266255958,698,80,2.6154241148695254,False,[],False,[]
1-6,97,20,3,train,1612,80,0.005537913899928082,,,,False,[],False,[]
1-6,98,20,4,train,980,80,0.005470679538038037,,,,False,[],False,[]
1-6,99,20,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,100,21,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,101,21,2,train,156,80,0.0017016443085231536,698,80,2.615427770017758,False,[],False,[]
1-6,102,21,3,train,1612,80,0.005546795434875906,,,,False,[],False,[]
1-6,103,21,4,train,980,80,0.005506722573931366,,,,False,[],False,[]
1-6,104,21,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,105,22,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,106,22,2,train,156,80,0.0017107636323681064,698,80,2.6154277622084456,False,[],False,[]
1-6,107,22,3,train,1612,80,0.005549460227380565,,,,False,[],False,[]
1-6,108,22,4,train,980,80,0.005521698857563151,,,,False,[],False,[]
1-6,109,22,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,110,23,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,111,23,2,train,156,80,0.0017169372737444455,698,80,2.615426897322695,False,[],False,[]
1-6,112,23,3,train,1612,80,0.0055505053525446435,,,,False,[],False,[]
1-6,113,23,4,train,980,80,0.005533050730966549,,,,False,[],False,[]
1-6,114,23,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,115,24,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,116,24,2,train,156,80,0.0017206954675736963,698,80,2.6154258361517257,False,[],False,[]
1-6,117,24,3,train,1612,80,0.005550302600946244,,,,False,[],False,[]
1-6,118,24,4,train,980,80,0.005541393972491981,,,,False,[],False,[]
1-6,119,24,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,120,25,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,121,25,2,train,156,80,0.001740227545188544,698,80,2.6154257987959237,False,[],False,[]
1-6,122,25,3,train,1612,80,0.005549166255865545,,,,False,[],False,[]
1-6,123,25,4,train,980,80,0.005587339025103999,,,,False,[],False,[]
1-6,124,25,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,125,26,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,126,26,2,train,1109,80,0.001784382928221695,698,80,2.615456145823121,False,[],False,[]
1-6,127,26,3,train,1612,80,0.005542891513859227,,,,False,[],False,[]
1-6,128,26,4,train,980,80,0.005700584340718184,,,,False,[],False,[]
1-6,129,26,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,130,27,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,131,27,2,train,1109,80,0.0018368469546644617,698,80,2.6155439111381487,False,[],False,[]
1-6,132,27,3,train,1612,80,0.00553430752296169,,,,False,[],False,[]
1-6,133,27,4,train,980,80,0.005842586523467919,,,,False,[],False,[]
1-6,134,27,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,135,28,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,136,28,2,train,1109,80,0.00189562584081715,698,80,2.615701038349249,False,[],False,[]
1-6,137,28,3,train,546,80,0.0054902845070923245,,,,False,[],False,[]
1-6,138,28,4,train,980,80,0.006006192129601962,,,,False,[],False,[]
1-6,139,28,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,140,29,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,141,29,2,train,1109,80,0.0019024591738219243,698,80,2.615747269414159,False,[],False,[]
1-6,142,29,3,train,546,80,0.005477654961177358,,,,False,[],False,[]
1-6,143,29,4,train,980,80,0.006032139179221074,,,,False,[],False,[]
1-6,144,29,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,145,30,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,146,30,2,train,1109,80,0.001902718109945134,698,80,2.6157842944779874,False,[],False,[]
1-6,147,30,3,train,546,80,0.00547140701268356,,,,False,[],False,[]
1-6,148,30,4,train,980,80,0.006042423879786263,,,,False,[],False,[]
1-6,149,30,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,150,31,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,151,31,2,train,1109,80,0.0019002594040343768,698,80,2.615835291339041,False,[],False,[]
1-6,152,31,3,train,546,80,0.00546339587612743,,,,False,[],False,[]
1-6,153,31,4,train,980,80,0.006050907395015681,,,,False,[],False,[]
1-6,154,31,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,155,32,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,156,32,2,train,1109,80,0.0018948299357368636,698,80,2.61590848524967,False,[],False,[]
1-6,157,32,3,train,546,80,0.0054530586339935905,,,,False,[],False,[]
1-6,158,32,4,train,980,80,0.006059232419565186,,,,False,[],False,[]
1-6,159,32,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,160,33,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,161,33,2,train,1109,80,0.0018514347726414915,698,80,2.616497635410304,False,[],False,[]
1-6,162,33,3,train,546,80,0.00537266902446043,,,,False,[],False,[]
1-6,163,33,4,train,980,80,0.0061224501258594355,,,,False,[],False,[]
1-6,164,33,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,165,34,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,166,34,2,train,1109,80,0.0017492563579100118,698,80,2.6180452350264747,False,[],False,[]
1-6,167,34,3,train,546,80,0.005176995280341878,,,,False,[],False,[]
1-6,168,34,4,train,980,80,0.0062804993659349995,,,,False,[],False,[]
1-6,169,34,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,170,35,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,171,35,2,train,1109,80,0.00165925802258593,,,,False,[],False,[]
1-6,172,35,3,train,546,80,0.005002035953576622,,,,False,[],False,[]
1-6,173,35,4,train,980,80,0.006428602335460942,,,,False,[],False,[]
1-6,174,35,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,175,36,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,176,36,2,train,1109,80,0.001597192360705324,,,,False,[],False,[]
1-6,177,36,3,train,546,80,0.004878557229707203,,,,False,[],False,[]
1-6,178,36,4,train,980,80,0.006537029336420308,,,,False,[],False,[]
1-6,179,36,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,180,37,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,181,37,2,train,1109,80,0.001588673782048522,,,,False,[],False,[]
1-6,182,37,3,train,546,80,0.004862880680000847,,,,False,[],False,[]
1-6,183,37,4,train,980,80,0.0065489481954330575,,,,False,[],False,[]
1-6,184,37,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,185,38,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,186,38,2,train,1109,80,0.0015836276959425577,,,,False,[],False,[]
1-6,187,38,3,train,546,80,0.004854745481842726,,,,False,[],False,[]
1-6,188,38,4,train,980,80,0.006553128874251302,,,,False,[],False,[]
1-6,189,38,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,190,39,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,191,39,2,train,1109,80,0.0015764894827190457,,,,False,[],False,[]
1-6,192,39,3,train,546,80,0.004844070632939346,,,,False,[],False,[]
1-6,193,39,4,train,980,80,0.0065567342488466185,,,,False,[],False,[]
1-6,194,39,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,195,40,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,196,40,2,train,1109,80,0.0015628662469364674,,,,False,[],False,[]
1-6,197,40,3,train,546,80,0.004824394512266239,,,,False,[],False,[]
1-6,198,40,4,train,980,80,0.006562104375892774,,,,False,[],False,[]
1-6,199,40,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,200,41,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,201,41,2,train,1109,80,0.0014092989376377485,,,,False,[],False,[]
1-6,202,41,3,train,546,80,0.004606153375598554,,,,False,[],False,[]
1-6,203,41,4,train,980,80,0.006625732877985291,,,,False,[],False,[]
1-6,204,41,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,205,42,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,206,42,2,train,156,80,0.0011076823420227422,156,80,2.721682327425824,False,[],False,[]
1-6,207,42,3,train,546,80,0.0042309881612654365,,,,False,[],False,[]
1-6,208,42,4,train,980,80,0.006771806304664674,,,,False,[],False,[]
1-6,209,42,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,210,43,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,211,43,2,train,156,80,0.0009272166103297952,156,80,2.720004803638364,False,[],False,[]
1-6,212,43,3,train,1514,80,0.004060153587814863,,,,False,[],False,[]
1-6,213,43,4,train,980,80,0.0068816802373643515,,,,False,[],False,[]
1-6,214,43,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,215,44,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,216,44,2,train,156,80,0.0008516702677163757,156,80,2.719437460868184,False,[],False,[]
1-6,217,44,3,train,1514,80,0.004008578271765151,,,,False,[],False,[]
1-6,218,44,4,train,980,80,0.0069349920073267235,,,,False,[],False,[]
1-6,219,44,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,220,45,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,221,45,2,train,156,80,0.0008458510355725535,156,80,2.719377992179722,False,[],False,[]
1-6,222,45,3,train,1514,80,0.004005136029555878,,,,False,[],False,[]
1-6,223,45,4,train,980,80,0.006939073184428102,,,,False,[],False,[]
1-6,224,45,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,225,46,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,226,46,2,train,156,80,0.0008429258025991482,156,80,2.719328401367223,False,[],False,[]
1-6,227,46,3,train,1514,80,0.004003240748146286,,,,False,[],False,[]
1-6,228,46,4,train,980,80,0.006940794797165362,,,,False,[],False,[]
1-6,229,46,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,230,47,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,231,47,2,train,156,80,0.000837904429006664,156,80,2.7192227276977152,False,[],False,[]
1-6,232,47,3,train,1514,80,0.003999797077594902,,,,False,[],False,[]
1-6,233,47,4,train,980,80,0.0069434949886788555,,,,False,[],False,[]
1-6,234,47,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,235,48,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,236,48,2,train,156,80,0.0008237580674456124,156,80,2.7189053466379187,False,[],False,[]
1-6,237,48,3,train,1514,80,0.003990108619898791,,,,False,[],False,[]
1-6,238,48,4,train,980,80,0.006950651053952872,,,,False,[],False,[]
1-6,239,48,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,240,49,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,241,49,2,train,156,80,0.0006469740639556409,156,80,2.714919396926775,False,[],False,[]
1-6,242,49,3,train,1620,80,0.0039143662264435886,,,,False,[],False,[]
1-6,243,49,4,train,980,80,0.00705763191347375,,,,False,[],False,[]
1-6,244,49,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,245,50,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,246,50,2,train,156,80,0.0005250072076531387,156,80,2.7121783115409417,False,[],False,[]
1-6,247,50,3,train,1620,80,0.003945717252798353,,,,False,[],False,[]
1-6,248,50,4,train,980,80,0.007160044111302888,,,,False,[],False,[]
1-6,249,50,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,250,51,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,251,51,2,train,156,80,0.0005052827151275086,156,80,2.7117221406084013,False,[],False,[]
1-6,252,51,3,train,1620,80,0.003961951525014662,,,,False,[],False,[]
1-6,253,51,4,train,980,80,0.007181010396007714,,,,False,[],False,[]
1-6,254,51,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,255,52,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,256,52,2,train,156,80,0.0005009560960047565,156,80,2.7116022964086404,False,[],False,[]
1-6,257,52,3,train,1620,80,0.003963471205449598,,,,False,[],False,[]
1-6,258,52,4,train,980,80,0.007186331221746389,,,,False,[],False,[]
1-6,259,52,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,260,53,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,261,53,2,train,156,80,0.0005009662178570018,156,80,2.7115802241563434,False,[],False,[]
1-6,262,53,3,train,1620,80,0.003960425057372374,,,,False,[],False,[]
1-6,263,53,4,train,980,80,0.0071868678134561215,,,,False,[],False,[]
1-6,264,53,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,265,54,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,266,54,2,train,156,80,0.0005023661735262808,156,80,2.711440890592876,False,[],False,[]
1-6,267,54,3,train,1620,80,0.003936481533666436,,,,False,[],False,[]
1-6,268,54,4,train,980,80,0.007189438197352294,,,,False,[],False,[]
1-6,269,54,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,270,55,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,271,55,2,train,156,80,0.000583634785179532,156,80,2.706402256791313,False,[],False,[]
1-6,272,55,3,train,1514,80,0.0031512037377832147,,,,False,[],False,[]
1-6,273,55,4,train,980,80,0.007328497085643315,,,,False,[],False,[]
1-6,274,55,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,275,56,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,276,56,2,train,156,80,0.0005528977247214462,156,80,2.7077667713931977,False,[],False,[]
1-6,277,56,3,train,1620,80,0.0033471853758407777,,,,False,[],False,[]
1-6,278,56,4,train,980,80,0.007279924136266325,,,,False,[],False,[]
1-6,279,56,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,280,57,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,281,57,2,train,156,80,0.0005449610058936294,156,80,2.708148653280973,False,[],False,[]
1-6,282,57,3,train,1620,80,0.0034064754186701185,,,,False,[],False,[]
1-6,283,57,4,train,980,80,0.0072681121459072795,,,,False,[],False,[]
1-6,284,57,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,285,58,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,286,58,2,train,156,80,0.0005437616759027541,156,80,2.708174331928163,False,[],False,[]
1-6,287,58,3,train,1620,80,0.0034122028642293856,,,,False,[],False,[]
1-6,288,58,4,train,980,80,0.007267350913550574,,,,False,[],False,[]
1-6,289,58,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,290,59,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,291,59,2,train,156,80,0.0005431630211623073,156,80,2.708165704477053,False,[],False,[]
1-6,292,59,3,train,1620,80,0.0034126506732655715,,,,False,[],False,[]
1-6,293,59,4,train,980,80,0.007267630040517448,,,,False,[],False,[]
1-6,294,59,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,295,60,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,296,60,2,train,156,80,0.0005177271282119644,156,80,2.707771452850741,False,[],False,[]
1-6,297,60,3,train,1620,80,0.003438366164806528,,,,False,[],False,[]
1-6,298,60,4,train,980,80,0.007281293534379563,,,,False,[],False,[]
1-6,299,60,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,300,61,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,301,61,2,train,839,80,0.00047886714737988,156,80,2.7072892949117517,False,[],False,[]
1-6,302,61,3,train,1620,80,0.003489850975442188,,,,False,[],False,[]
1-6,303,61,4,train,980,80,0.007308365009321194,,,,False,[],False,[]
1-6,304,61,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,305,62,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,306,62,2,train,839,80,0.0004736449581824731,156,80,2.707251441436084,False,[],False,[]
1-6,307,62,3,train,1620,80,0.0034940840487771574,,,,False,[],False,[]
1-6,308,62,4,train,980,80,0.007311460781995072,,,,False,[],False,[]
1-6,309,62,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,310,63,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,311,63,2,train,839,80,0.00045983074291877646,156,80,2.707178840757662,False,[],False,[]
1-6,312,63,3,train,1620,80,0.003509230993008705,,,,False,[],False,[]
1-6,313,63,4,train,980,80,0.00732019032830411,,,,False,[],False,[]
1-6,314,63,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,315,64,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,316,64,2,train,839,80,0.0004594744128818551,156,80,2.7071677304632975,False,[],False,[]
1-6,317,64,3,train,1620,80,0.003507949662083565,,,,False,[],False,[]
1-6,318,64,4,train,980,80,0.007320684864452254,,,,False,[],False,[]
1-6,319,64,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,320,65,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,321,65,2,train,839,80,0.0004586267491832885,156,80,2.707116369775565,False,[],False,[]
1-6,322,65,3,train,1620,80,0.0035008510731524556,,,,False,[],False,[]
1-6,323,65,4,train,980,80,0.007322646761082963,,,,False,[],False,[]
1-6,324,65,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,325,66,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,326,66,2,train,839,80,0.00045771034509523023,156,80,2.707063310891152,False,[],False,[]
1-6,327,66,3,train,1620,80,0.0034934877084369376,,,,False,[],False,[]
1-6,328,66,4,train,980,80,0.007324733656445481,,,,False,[],False,[]
1-6,329,66,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,330,67,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,331,67,2,train,839,80,0.0004564138570295473,156,80,2.706979002482753,False,[],False,[]
1-6,332,67,3,train,1620,80,0.0034813825667221465,,,,False,[],False,[]
1-6,333,67,4,train,980,80,0.00732807253405654,,,,False,[],False,[]
1-6,334,67,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,335,68,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,336,68,2,train,839,80,0.00045347165858100613,156,80,2.7067706147636152,False,[],False,[]
1-6,337,68,3,train,1620,80,0.003450346698150586,,,,False,[],False,[]
1-6,338,68,4,train,980,80,0.007336840739921469,,,,False,[],False,[]
1-6,339,68,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,340,69,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,341,69,2,train,839,80,0.00044847380937262926,156,80,2.7062300801329764,False,[],False,[]
1-6,342,69,3,train,1620,80,0.003359344186089186,,,,False,[],False,[]
1-6,343,69,4,train,980,80,0.007364173873236068,,,,False,[],False,[]
1-6,344,69,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,345,70,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
